"filename","chromosome","start_pos","end_pos","tree"
"Chr1_RagTag.2800001-3000000.min4.phy.treefile","Chr1",2800001,3e+06,"((Crnoc59478:0.1342566162,(Cratr320360:0.0955386367,((Cstr9577:0.0790087880,Ceery21146:0.0728415574)76:0.0114283958,Ccgol2213:0.0865506880)58:0.0063344199)100:0.0174192966)100:0.0134164189,Cvar27099:0.4458199167,Cuund34614:0.0986688629);"
"Chr1_RagTag.3000001-3200000.min4.phy.treefile","Chr1",3000001,3200000,"((Crnoc59478:0.1331856514,(((Cratr320360:0.0901766705,Cstr9577:0.0782023619)72:0.0077118220,Ceery21146:0.0796495551)100:0.0075357446,Ccgol2213:0.1012718362)100:0.0177287534)100:0.0096381689,Cvar27099:0.4075686345,Cuund34614:0.1048060190);"
"Chr1_RagTag.3200001-3400000.min4.phy.treefile","Chr1",3200001,3400000,"((Crnoc59478:0.1333260373,(((Cratr320360:0.0906019517,Cstr9577:0.0717103539)86:0.0112185593,Ceery21146:0.0834843939)98:0.0074855916,Ccgol2213:0.1055270003)100:0.0140643842)100:0.0103711555,Cvar27099:0.3985831699,Cuund34614:0.1118541143);"
"Chr1_RagTag.3400001-3600000.min4.phy.treefile","Chr1",3400001,3600000,"(Crnoc59478:0.1396478580,Cvar27099:0.4067663222,(Cuund34614:0.1010398224,((Cratr320360:0.1002954167,(Cstr9577:0.0739160564,Ceery21146:0.0845573293)51:0.0103999589)100:0.0117255450,Ccgol2213:0.1047324773)100:0.0168831233)51:0.0079176556);"
"Chr1_RagTag.3600001-3800000.min4.phy.treefile","Chr1",3600001,3800000,"((Crnoc59478:0.1253024886,Cuund34614:0.1075678302)90:0.0055320712,Cvar27099:0.4564320745,(((Cratr320360:0.0872537850,Cstr9577:0.0661845384)100:0.0147501695,Ceery21146:0.0813229863)70:0.0072167536,Ccgol2213:0.0995092118)100:0.0201599207);"
"Chr1_RagTag.3800001-4000000.min4.phy.treefile","Chr1",3800001,4e+06,"((Crnoc59478:0.1376059470,(((Cratr320360:0.0903967574,Cstr9577:0.0713945208)99:0.0135744383,Ccgol2213:0.0977102759)56:0.0063369067,Ceery21146:0.0787202314)100:0.0219235442)89:0.0096622462,Cvar27099:0.4173003069,Cuund34614:0.0933531899);"
"Chr1_RagTag.4000001-4200000.min4.phy.treefile","Chr1",4000001,4200000,"((Crnoc59478:0.1294337947,((Cratr320360:0.0961354433,(Cstr9577:0.0633552131,Ceery21146:0.0694759047)100:0.0095458217)61:0.0066315313,Ccgol2213:0.0870673083)100:0.0207882343)100:0.0165473756,Cvar27099:0.3942211270,Cuund34614:0.1030752182);"
"Chr1_RagTag.4200001-4400000.min4.phy.treefile","Chr1",4200001,4400000,"((Crnoc59478:0.1052496309,((Cratr320360:0.0827928963,(Cstr9577:0.0573099879,Ceery21146:0.0594695615)99:0.0059381809)85:0.0037142044,Ccgol2213:0.0737288239)100:0.0138648957)100:0.0334224717,Cvar27099:0.4060089043,Cuund34614:0.1197869743);"
"Chr1_RagTag.4400001-4600000.min4.phy.treefile","Chr1",4400001,4600000,"((Crnoc59478:0.0969842678,((Cratr320360:0.0800940165,(Cstr9577:0.0558151789,Ceery21146:0.0570482506)99:0.0049259596)94:0.0046664598,Ccgol2213:0.0705002334)100:0.0144801119)100:0.0476506133,Cvar27099:0.4059104228,Cuund34614:0.1400249685);"
"Chr1_RagTag.4600001-4800000.min4.phy.treefile","Chr1",4600001,4800000,"((Crnoc59478:0.1088284519,(((Cratr320360:0.0747653627,Cstr9577:0.0510650186)66:0.0036473628,Ceery21146:0.0554704368)95:0.0039985657,Ccgol2213:0.0625079361)100:0.0226930963)100:0.0362765429,Cvar27099:0.4262493294,Cuund34614:0.1382808914);"
"Chr1_RagTag.4800001-5000000.min4.phy.treefile","Chr1",4800001,5e+06,"((Crnoc59478:0.1043512846,((Cratr320360:0.0705916073,(Cstr9577:0.0549043303,Ceery21146:0.0614272944)100:0.0055962200)83:0.0048243713,Ccgol2213:0.0714367957)100:0.0178104267)100:0.0410086720,Cvar27099:0.3935300216,Cuund34614:0.1277077012);"
"Chr1_RagTag.5000001-5200000.min4.phy.treefile","Chr1",5000001,5200000,"((Crnoc59478:0.1060231561,(Cratr320360:0.0797294570,((Cstr9577:0.0581343233,Ceery21146:0.0639239508)100:0.0066313532,Ccgol2213:0.0777147691)51:0.0034996756)100:0.0238897127)100:0.0320233319,Cvar27099:0.3971819714,Cuund34614:0.1312504432);"
"Chr1_RagTag.5200001-5400000.min4.phy.treefile","Chr1",5200001,5400000,"((Crnoc59478:0.1206821106,((Cratr320360:0.0864979503,(Cstr9577:0.0692997555,Ceery21146:0.0762000242)60:0.0081163718)59:0.0050548654,Ccgol2213:0.0857525046)100:0.0164059605)100:0.0223041944,Cvar27099:0.3913906708,Cuund34614:0.1178659742);"
"Chr1_RagTag.5400001-5600000.min4.phy.treefile","Chr1",5400001,5600000,"((Crnoc59478:0.1210309493,(((Cratr320360:0.0924184993,Cstr9577:0.0700674191)86:0.0092891668,Ceery21146:0.0808667418)56:0.0067432077,Ccgol2213:0.0911884914)100:0.0217040971)100:0.0130108757,Cvar27099:0.3828691205,Cuund34614:0.0964801049);"
"Chr1_RagTag.5600001-5800000.min4.phy.treefile","Chr1",5600001,5800000,"((Crnoc59478:0.1392123660,(((Cratr320360:0.0822913667,Cstr9577:0.0729104093)56:0.0092771798,Ceery21146:0.0790969204)60:0.0049753493,Ccgol2213:0.0895041323)100:0.0243064553)100:0.0129131650,Cvar27099:0.3718543637,Cuund34614:0.1110972987);"
"Chr1_RagTag.5800001-6000000.min4.phy.treefile","Chr1",5800001,6e+06,"((Crnoc59478:0.1484726412,((Cratr320360:0.0946724878,(Cstr9577:0.0718462095,Ceery21146:0.0804452398)81:0.0093149984)100:0.0101222238,Ccgol2213:0.0964028200)100:0.0243721365)100:0.0173329614,Cvar27099:0.3329372729,Cuund34614:0.1122650067);"
"Chr1_RagTag.6000001-6200000.min4.phy.treefile","Chr1",6000001,6200000,"((Crnoc59478:0.1263229242,(((Cratr320360:0.0872115860,Cstr9577:0.0683533563)100:0.0116158071,Ceery21146:0.0849556325)100:0.0114531152,Ccgol2213:0.0988502679)100:0.0181448636)87:0.0094394275,Cvar27099:0.3802889061,Cuund34614:0.0997909280);"
"Chr1_RagTag.6200001-6400000.min4.phy.treefile","Chr1",6200001,6400000,"((Crnoc59478:0.1284830267,(((Cratr320360:0.0861723286,Cstr9577:0.0713663683)76:0.0073743164,Ceery21146:0.0714556136)65:0.0055500286,Ccgol2213:0.0924093452)100:0.0228315608)100:0.0180969313,Cvar27099:0.3409049632,Cuund34614:0.1125172072);"
"Chr1_RagTag.6400001-6600000.min4.phy.treefile","Chr1",6400001,6600000,"((Crnoc59478:0.1298289586,(((Cratr320360:0.0815870918,Cstr9577:0.0659096359)76:0.0075428700,Ceery21146:0.0744326511)99:0.0076357744,Ccgol2213:0.0834902413)100:0.0227931109)100:0.0162569156,Cvar27099:0.3710043176,Cuund34614:0.1066613191);"
"Chr1_RagTag.6600001-6800000.min4.phy.treefile","Chr1",6600001,6800000,"((Crnoc59478:0.1333406227,(((Cratr320360:0.0835642726,Cstr9577:0.0700139287)96:0.0093703067,Ccgol2213:0.0878978276)61:0.0070800616,Ceery21146:0.0765233076)100:0.0239611623)100:0.0136572068,Cvar27099:0.3607195218,Cuund34614:0.1103883818);"
"Chr1_RagTag.6800001-7000000.min4.phy.treefile","Chr1",6800001,7e+06,"((Crnoc59478:0.1229040531,(((Cratr320360:0.0833745817,Cstr9577:0.0681236360)59:0.0068946420,Ceery21146:0.0760085875)94:0.0072877488,Ccgol2213:0.0846415584)100:0.0232544482)100:0.0195945274,Cvar27099:0.3730175066,Cuund34614:0.1114406548);"
"Chr1_RagTag.7000001-7200000.min4.phy.treefile","Chr1",7000001,7200000,"((Crnoc59478:0.1214037504,((Cratr320360:0.0905410796,(Cstr9577:0.0676298110,Ceery21146:0.0700762336)67:0.0073505025)58:0.0047131300,Ccgol2213:0.0785843123)100:0.0223957887)100:0.0273771695,Cvar27099:0.3491524547,Cuund34614:0.1245328096);"
"Chr1_RagTag.7200001-7400000.min4.phy.treefile","Chr1",7200001,7400000,"((Crnoc59478:0.1116645894,((Cratr320360:0.0767834127,(Cstr9577:0.0580731427,Ceery21146:0.0610007269)98:0.0042186178)72:0.0045811075,Ccgol2213:0.0729704852)100:0.0267478254)100:0.0301396582,Cvar27099:0.3729014495,Cuund34614:0.1422277616);"
"Chr1_RagTag.7400001-7600000.min4.phy.treefile","Chr1",7400001,7600000,"((Crnoc59478:0.1081891107,((Cratr320360:0.0775497431,(Cstr9577:0.0573592196,Ceery21146:0.0581022748)69:0.0067208226)88:0.0034488586,Ccgol2213:0.0734710287)100:0.0189877059)100:0.0321248579,Cvar27099:0.3737184959,Cuund34614:0.1256860502);"
"Chr1_RagTag.7600001-7800000.min4.phy.treefile","Chr1",7600001,7800000,"((Crnoc59478:0.1205386221,(Cratr320360:0.0817392212,((Cstr9577:0.0601978049,Ceery21146:0.0689707933)96:0.0070036958,Ccgol2213:0.0880122888)82:0.0050683318)100:0.0233719930)100:0.0222974775,Cvar27099:0.3662783203,Cuund34614:0.1194238737);"
"Chr1_RagTag.7800001-8000000.min4.phy.treefile","Chr1",7800001,8e+06,"((Crnoc59478:0.1037327379,(((Cratr320360:0.0721365357,Cstr9577:0.0569178831)87:0.0046215843,Ceery21146:0.0668383268)99:0.0040820691,Ccgol2213:0.0822419077)100:0.0187312565)100:0.0278396026,Cvar27099:0.3379700358,Cuund34614:0.1153507528);"
"Chr1_RagTag.8000001-8200000.min4.phy.treefile","Chr1",8000001,8200000,"((Crnoc59478:0.1155282662,(((Cratr320360:0.0788230365,Cstr9577:0.0520943251)66:0.0045826561,Ccgol2213:0.0709294742)52:0.0034033680,Ceery21146:0.0641962474)100:0.0220269355)100:0.0271939855,Cvar27099:0.3612871573,Cuund34614:0.1243170698);"
"Chr1_RagTag.8200001-8400000.min4.phy.treefile","Chr1",8200001,8400000,"((Crnoc59478:0.1080720118,((Cratr320360:0.0841496451,(Cstr9577:0.0539565264,Ceery21146:0.0673851984)85:0.0074409876)100:0.0074424973,Ccgol2213:0.0826229992)100:0.0148426139)100:0.0289730588,Cvar27099:0.3310002567,Cuund34614:0.1172617599);"
"Chr1_RagTag.8400001-8600000.min4.phy.treefile","Chr1",8400001,8600000,"((Crnoc59478:0.1179905799,(((Cratr320360:0.0782854840,Cstr9577:0.0635474973)45:0.0047714477,Ceery21146:0.0700620159)68:0.0045082328,Ccgol2213:0.0794288182)100:0.0232716478)100:0.0206280331,Cvar27099:0.3353099891,Cuund34614:0.1130190565);"
"Chr1_RagTag.8600001-8800000.min4.phy.treefile","Chr1",8600001,8800000,"((Crnoc59478:0.1100023322,(((Cratr320360:0.0718922591,Cstr9577:0.0608155340)94:0.0056267211,Ceery21146:0.0721786347)97:0.0050580513,Ccgol2213:0.0793026271)100:0.0174373068)100:0.0332321175,Cvar27099:0.3330346398,Cuund34614:0.1245310460);"
"Chr1_RagTag.8800001-9000000.min4.phy.treefile","Chr1",8800001,9e+06,"((Crnoc59478:0.1134805770,((Cratr320360:0.0858405739,(Cstr9577:0.0644864719,Ceery21146:0.0722517524)82:0.0064237727)99:0.0068693309,Ccgol2213:0.0863358950)100:0.0190861111)100:0.0328379633,Cvar27099:0.3179173036,Cuund34614:0.1267630304);"
"Chr1_RagTag.9000001-9200000.min4.phy.treefile","Chr1",9000001,9200000,"((Crnoc59478:0.1140546339,(Cratr320360:0.0845478410,((Cstr9577:0.0656996008,Ceery21146:0.0718491785)99:0.0078688732,Ccgol2213:0.0795391025)100:0.0079529586)100:0.0204073817)100:0.0192674482,Cvar27099:0.3588942874,Cuund34614:0.1191616137);"
"Chr1_RagTag.9200001-9400000.min4.phy.treefile","Chr1",9200001,9400000,"((Crnoc59478:0.1112156383,(((Cratr320360:0.0850343174,Cstr9577:0.0701978183)65:0.0088350439,Ceery21146:0.0778549871)91:0.0055821881,Ccgol2213:0.0846823013)100:0.0171548389)100:0.0317582328,Cvar27099:0.3123559460,Cuund34614:0.1242965975);"
"Chr1_RagTag.9400001-9600000.min4.phy.treefile","Chr1",9400001,9600000,"((Crnoc59478:0.1084642530,(Cratr320360:0.0802512579,((Cstr9577:0.0640068516,Ceery21146:0.0676658006)100:0.0072837782,Ccgol2213:0.0804216937)51:0.0041318383)100:0.0197480637)100:0.0342112815,Cvar27099:0.3395711716,Cuund34614:0.1310561508);"
"Chr1_RagTag.9600001-9800000.min4.phy.treefile","Chr1",9600001,9800000,"((Crnoc59478:0.1072340380,(((Cratr320360:0.0746441045,Cstr9577:0.0619480342)81:0.0067981768,Ceery21146:0.0702922240)98:0.0062129883,Ccgol2213:0.0843985271)100:0.0154808442)100:0.0333651446,Cvar27099:0.3359483146,Cuund34614:0.1198664553);"
"Chr1_RagTag.9800001-10000000.min4.phy.treefile","Chr1",9800001,1e+07,"((Crnoc59478:0.1172800980,((Cratr320360:0.0786066731,(Cstr9577:0.0582971873,Ceery21146:0.0654398984)89:0.0061649405)99:0.0057287920,Ccgol2213:0.0773139807)100:0.0193347803)100:0.0273986033,Cvar27099:0.3380317017,Cuund34614:0.1285240080);"
"Chr1_RagTag.10000001-10200000.min4.phy.treefile","Chr1",10000001,10200000,"((Crnoc59478:0.1124164975,((Cratr320360:0.0769440830,(Cstr9577:0.0603646678,Ceery21146:0.0684942202)72:0.0059712575)100:0.0077794309,Ccgol2213:0.0856924519)100:0.0161497623)100:0.0285500924,Cvar27099:0.3862658500,Cuund34614:0.1287726172);"
"Chr1_RagTag.10200001-10400000.min4.phy.treefile","Chr1",10200001,10400000,"((Crnoc59478:0.1279554406,(((Cratr320360:0.0855469768,Cstr9577:0.0632179942)95:0.0077037777,Ceery21146:0.0808369581)55:0.0037295806,Ccgol2213:0.0824094433)100:0.0254331436)100:0.0322689990,Cvar27099:0.3489561650,Cuund34614:0.1392183286);"
"Chr1_RagTag.10400001-10600000.min4.phy.treefile","Chr1",10400001,10600000,"((Crnoc59478:0.1163223107,((Cratr320360:0.0803215108,Ccgol2213:0.0821648425)45:0.0051498637,(Cstr9577:0.0639820632,Ceery21146:0.0704357648)100:0.0084090734)100:0.0180715962)100:0.0452334464,Cvar27099:0.3316738343,Cuund34614:0.1446408384);"
"Chr1_RagTag.10600001-10800000.min4.phy.treefile","Chr1",10600001,10800000,"((Crnoc59478:0.1183745576,(Cratr320360:0.0871407810,((Cstr9577:0.0663980352,Ceery21146:0.0702988548)100:0.0105602715,Ccgol2213:0.0867733147)61:0.0040421879)100:0.0173690083)100:0.0389430479,Cvar27099:0.3355279171,Cuund34614:0.1424035148);"
"Chr1_RagTag.10800001-11000000.min4.phy.treefile","Chr1",10800001,1.1e+07,"((Crnoc59478:0.1107422653,(Cratr320360:0.0843326886,((Cstr9577:0.0627354482,Ceery21146:0.0639469710)100:0.0075813266,Ccgol2213:0.0817016400)87:0.0045533156)100:0.0226496423)100:0.0336890813,Cvar27099:0.3272728855,Cuund34614:0.1326580004);"
"Chr1_RagTag.11000001-11200000.min4.phy.treefile","Chr1",11000001,11200000,"((Crnoc59478:0.1152208288,((Cratr320360:0.0851589201,(Cstr9577:0.0624415023,Ceery21146:0.0659363876)86:0.0056043932)96:0.0058267699,Ccgol2213:0.0851234181)100:0.0257007403)100:0.0329482483,Cvar27099:0.3313371821,Cuund34614:0.1357842284);"
"Chr1_RagTag.11200001-11400000.min4.phy.treefile","Chr1",11200001,11400000,"((Crnoc59478:0.1283839974,(Cratr320360:0.0825568152,((Cstr9577:0.0713826669,Ceery21146:0.0744636302)82:0.0073973223,Ccgol2213:0.0865306445)75:0.0038921810)100:0.0234160226)100:0.0258984684,Cvar27099:0.3314462563,Cuund34614:0.1340379271);"
"Chr1_RagTag.11400001-11600000.min4.phy.treefile","Chr1",11400001,11600000,"((Crnoc59478:0.1246157037,(Cratr320360:0.0827486807,((Cstr9577:0.0677390977,Ccgol2213:0.0768717421)68:0.0034950242,Ceery21146:0.0679078341)81:0.0041121000)100:0.0234371631)100:0.0405296444,Cvar27099:0.3235638988,Cuund34614:0.1488995542);"
"Chr1_RagTag.11600001-11800000.min4.phy.treefile","Chr1",11600001,11800000,"((Crnoc59478:0.1060942107,((Cratr320360:0.0895962564,(Cstr9577:0.0701724695,Ceery21146:0.0749784342)93:0.0069700385)78:0.0053176169,Ccgol2213:0.0835513221)100:0.0197709217)100:0.0201315450,Cvar27099:0.3409701272,Cuund34614:0.1282583032);"
"Chr1_RagTag.11800001-12000000.min4.phy.treefile","Chr1",11800001,1.2e+07,"((Crnoc59478:0.1158768195,((Cratr320360:0.0847915122,(Cstr9577:0.0675804823,Ceery21146:0.0778602249)94:0.0078646503)85:0.0063126788,Ccgol2213:0.0916667801)100:0.0164384967)100:0.0314370662,Cvar27099:0.2867240286,Cuund34614:0.1224774510);"
"Chr1_RagTag.12000001-12200000.min4.phy.treefile","Chr1",12000001,12200000,"((Crnoc59478:0.1211430212,(((Cratr320360:0.0910172834,Cstr9577:0.0622271305)57:0.0045286136,Ceery21146:0.0685456152)80:0.0044324499,Ccgol2213:0.0841755764)100:0.0223004689)100:0.0276994733,Cvar27099:0.3332858540,Cuund34614:0.1302016955);"
"Chr1_RagTag.12200001-12400000.min4.phy.treefile","Chr1",12200001,12400000,"((Crnoc59478:0.1200039492,((Cratr320360:0.0891433644,(Cstr9577:0.0755314349,Ceery21146:0.0708803302)97:0.0079684868)78:0.0043666130,Ccgol2213:0.0844517280)100:0.0240779801)100:0.0303261079,Cvar27099:0.3138530314,Cuund34614:0.1326366003);"
"Chr1_RagTag.12400001-12600000.min4.phy.treefile","Chr1",12400001,12600000,"((Crnoc59478:0.1255082629,(Cratr320360:0.0765886191,((Cstr9577:0.0564565553,Ceery21146:0.0604051501)100:0.0062263805,Ccgol2213:0.0797102144)91:0.0050768515)100:0.0277184626)100:0.0329094108,Cvar27099:0.3325162996,Cuund34614:0.1432956171);"
"Chr1_RagTag.12600001-12800000.min4.phy.treefile","Chr1",12600001,12800000,"((Crnoc59478:0.1339483515,(((Cratr320360:0.0788680724,Ceery21146:0.0653503879)57:0.0010111624,Cstr9577:0.0595404770)70:0.0018622383,Ccgol2213:0.0671899873)100:0.0331673242)100:0.0558871237,Cvar27099:0.3517842584,Cuund34614:0.1526722077);"
"Chr1_RagTag.12800001-13000000.min4.phy.treefile","Chr1",12800001,1.3e+07,"((Crnoc59478:0.1243836679,((Cratr320360:0.0826693325,(Cstr9577:0.0612155683,Ceery21146:0.0673754676)100:0.0062811397)100:0.0062698763,Ccgol2213:0.0879117749)100:0.0178511088)100:0.0431067497,Cvar27099:0.3311706618,Cuund34614:0.1573794966);"
"Chr1_RagTag.13000001-13200000.min4.phy.treefile","Chr1",13000001,13200000,"((Crnoc59478:0.1232428358,(Cratr320360:0.0879372726,((Cstr9577:0.0608554852,Ceery21146:0.0685212684)100:0.0102071892,Ccgol2213:0.0863311631)67:0.0037057036)100:0.0218434149)100:0.0439266362,Cvar27099:0.3374853381,Cuund34614:0.1432962184);"
"Chr1_RagTag.13200001-13400000.min4.phy.treefile","Chr1",13200001,13400000,"((Crnoc59478:0.1186526006,((Cratr320360:0.0857517919,(Cstr9577:0.0636358657,Ceery21146:0.0728363598)87:0.0033456872)99:0.0072183778,Ccgol2213:0.0885605267)100:0.0176382379)100:0.0526520113,Cvar27099:0.3465263222,Cuund34614:0.1387209252);"
"Chr1_RagTag.13400001-13600000.min4.phy.treefile","Chr1",13400001,13600000,"((Crnoc59478:0.1282392690,((Cratr320360:0.0795393805,(Cstr9577:0.0615505757,Ceery21146:0.0715507224)91:0.0056036249)78:0.0029082608,Ccgol2213:0.0861335268)100:0.0285197688)100:0.0303871045,Cvar27099:0.3480168498,Cuund34614:0.1428761133);"
"Chr1_RagTag.13600001-13800000.min4.phy.treefile","Chr1",13600001,13800000,"((Crnoc59478:0.1265133062,(Cratr320360:0.0838101751,((Cstr9577:0.0669911550,Ceery21146:0.0665163825)89:0.0045578966,Ccgol2213:0.0721291811)88:0.0033733117)100:0.0291450356)100:0.0391447171,Cvar27099:0.3616737376,Cuund34614:0.1537481525);"
"Chr1_RagTag.13800001-14000000.min4.phy.treefile","Chr1",13800001,1.4e+07,"((Crnoc59478:0.1348569513,((Cratr320360:0.0744688399,(Cstr9577:0.0586902321,Ceery21146:0.0607763400)90:0.0024839886)99:0.0028751437,Ccgol2213:0.0830205339)100:0.0345023578)100:0.0452404854,Cvar27099:0.3346058382,Cuund34614:0.1603139942);"
"Chr1_RagTag.14000001-14200000.min4.phy.treefile","Chr1",14000001,14200000,"((Crnoc59478:0.1183187128,(Cratr320360:0.0866267575,((Cstr9577:0.0636328692,Ceery21146:0.0669787093)73:0.0023766227,Ccgol2213:0.0819311463)55:0.0036797555)100:0.0262217495)100:0.0500612209,Cvar27099:0.3525765283,Cuund34614:0.1372078873);"
"Chr1_RagTag.14200001-14400000.min4.phy.treefile","Chr1",14200001,14400000,"((Crnoc59478:0.1225799957,((Cratr320360:0.0841284171,(Cstr9577:0.0597303784,Ceery21146:0.0728772643)79:0.0018823563)100:0.0089824244,Ccgol2213:0.0867876209)100:0.0202319153)100:0.0586141507,Cvar27099:0.3162621972,Cuund34614:0.1485803732);"
"Chr1_RagTag.14400001-14600000.min4.phy.treefile","Chr1",14400001,14600000,"((Crnoc59478:0.1233260861,(Cratr320360:0.0860572605,((Cstr9577:0.0567975998,Ceery21146:0.0631601611)100:0.0077470356,Ccgol2213:0.0793009036)76:0.0038186571)100:0.0212377629)100:0.0549789754,Cvar27099:0.3542403596,Cuund34614:0.1464799276);"
"Chr1_RagTag.14600001-14800000.min4.phy.treefile","Chr1",14600001,14800000,"((Crnoc59478:0.1218146474,((Cratr320360:0.0781192111,(Cstr9577:0.0585395132,Ceery21146:0.0609146479)98:0.0034498871)85:0.0032074022,Ccgol2213:0.0717960941)100:0.0327149947)100:0.0494637837,Cvar27099:0.3613661795,Cuund34614:0.1638514330);"
"Chr1_RagTag.14800001-15000000.min4.phy.treefile","Chr1",14800001,1.5e+07,"((Crnoc59478:0.1296917153,((Cratr320360:0.0800512150,(Cstr9577:0.0520952592,Ceery21146:0.0688905784)100:0.0032361616)89:0.0029796172,Ccgol2213:0.0742726724)100:0.0379509712)100:0.0375916521,Cvar27099:0.3152228353,Cuund34614:0.1520541095);"
