scaffold	start	end	mid	sites	sitesUsed	ABBA	BABA	D	fd	fdM	fdM_zscore	fdM_pvalue	fdM_abs	fdM_pvalue_adj	fdM_sig_005	fdM_sig_001	fdM_pvalue_bonferroni	busco_ids	busco_descriptions	gene_count	busco_ids.500kb	gene_count.500kb
2	144700001	144800000	144748297	7596	2867	213.875	26.375	0.7804	0.3394	0.1842	5.451208061726663	5.002879666093918e-8	0.1842	4.295654404205187e-5	TRUE	TRUE	4.7252198446257054e-4	4658at8782,16736at8782	protein FAM83H,Serine-threonine/tyrosine-protein kinase, catalytic domain	2	4658at8782,16736at8782	2
28	2300001	2400000	2355017	5876	1722	156.125	19.875	0.7741	0.3319	0.1808	5.333684565212947	9.623964647431649e-8	0.1808	7.574862174582661e-5	TRUE	TRUE	9.089834609499192e-4	18647at8782,28897at8782	leucine zipper putative tumor suppressor 1,Snf7 family	2	13711at8782,22573at8782,36065at8782,51532at8782,41118at8782,51959at8782,28994at8782,9292at8782,30442at8782,2912at8782,36380at8782,18333at8782,24800at8782,38619at8782,18647at8782,28897at8782,10905at8782,19972at8782,16614at8782	19
14	8700001	8800000	8746585	7250	2809	221.375	54.125	0.6071	0.3073	0.1799	5.302575404371082	1.1418027900944594e-7	0.1799	8.000309083774518e-5	TRUE	TRUE	0.001078432735244217			0	48031at8782,24364at8782,9377at8782,13028at8782,18151at8782,36691at8782,15889at8782,49911at8782,625at8782,36577at8782,12109at8782,3702at8782	12
4	47000001	47100000	47050744	7242	2907	213.375	35.625	0.7139	0.3313	0.1797	5.295662257517334	1.1858584136881234e-7	0.1797	8.000309083774518e-5	TRUE	TRUE	0.0011200432717284325			0		0
6	33700001	33800000	33707270	845	325	19	0.25	0.974	0.2443	0.1732	5.070984984770525	3.9576200006052886e-7	0.1732	2.491981393714463e-4	TRUE	TRUE	0.003737972090571695	11063at8782	Squalene cyclase, C-terminal	1	8571at8782,19460at8782,2667at8782,24734at8782,47272at8782,10434at8782,19950at8782,42006at8782,11063at8782	9
4	46800001	46900000	46852872	6342	2505	165.375	28.875	0.7027	0.2956	0.1708	4.98802722252555	6.09989750266493e-7	0.1708	3.4501780909533623e-4	TRUE	TRUE	0.005761353191267027			0		0
7	400001	500000	451331	7277	3008	198.125	34.375	0.7043	0.3094	0.1707	4.984570649098675	6.20995527222945e-7	0.1707	3.4501780909533623e-4	TRUE	TRUE	0.005865302754620716			0	9065at8782,27203at8782,21871at8782,48776at8782,34192at8782	5
2	18900001	19000000	18951593	6395	2433	180.125	35.875	0.6678	0.2985	0.1702	4.9672877819643055	6.789579423127634e-7	0.1702	3.5626432028578055e-4	TRUE	TRUE	0.00641275776514405			0	15588at8782,18577at8782,43040at8782,26277at8782,25892at8782,38399at8782,27931at8782,20934at8782,5535at8782	9
2	39300001	39400000	39350842	6277	3505	20	147.75	-0.7615	-0.1676	-0.1147	-4.88048991119967	1.0582262772729223e-6	0.1147	5.260498520443553e-4	TRUE	TRUE	0.009994947188842751			0	33252at8782,13172at8782	2
2	7800001	7900000	7851015	7097	2831	212.5	44.5	0.6537	0.294	0.1653	4.797915684047481	1.6032523708631174e-6	0.1653	7.571359321401072e-4	TRUE	TRUE	0.015142718642802144			0	7937at8782,18886at8782	2
4	67300001	67400000	67349070	7120	2611	178.5	35.25	0.6702	0.2882	0.1615	4.666565893826269	3.0627545444250615e-6	0.1615	0.0013775103177187955	TRUE	TRUE	0.028927716672094705			0	12225at8782,42265at8782,47701at8782,16617at8782,30850at8782,13000at8782,6921at8782,742at8782,26281at8782,12422at8782,10348at8782,3959at8782,32790at8782,37666at8782,42699at8782	15
40	66500001	66600000	66549756	7060	2878	285.25	62.5	0.6405	0.3045	0.1598	4.607804145569411	4.069436980280727e-6	0.1598	0.0017470832853977941	TRUE	TRUE	0.03843583227875147			0	26215at8782,28268at8782,33311at8782,2214at8782,29317at8782,3570at8782,15345at8782,1878at8782,4059at8782	9
3	96300001	96400000	96349918	6183	2638	154.25	30	0.6744	0.2789	0.1593	4.590521278435041	4.421403777321586e-6	0.1593	0.0018156590729044516	TRUE	TRUE	0.041760158676802384	14587at8782	NUC153	1	16424at8782,19111at8782,28108at8782,19983at8782,14587at8782,22969at8782,19473at8782,48149at8782,38437at8782,1253at8782,7268at8782	11
20	10100001	10200000	10106371	762	338	21	1.5	0.8667	0.2532	0.1585	4.56286869102005	5.045937554237767e-6	0.1585	0.0019701501428486703	TRUE	TRUE	0.04765888019977571	44975at8782,13588at8782	Mitochondrial glycoprotein,Helicase-associated domain	2	20339at8782,36036at8782,3113at8782,26777at8782,51288at8782,20959at8782,36110at8782,44020at8782,12684at8782,13770at8782,47815at8782,44975at8782,13588at8782	13
5	20500001	20600000	20551758	5711	2280	135.125	19.625	0.7464	0.2768	0.1583	4.555955544166301	5.214796566566093e-6	0.1583	0.0019701501428486703	TRUE	TRUE	0.04925375357121675	50519at8782,23991at8782,13821at8782	Parathyroid hormone,BTBD10/KCTD20, BTB/POZ domain,PAS domain	3	40878at8782,21218at8782,7400at8782,33131at8782,8012at8782,23361at8782,14160at8782,20340at8782,50519at8782,23991at8782,13821at8782,34903at8782,3083at8782	13
5	20400001	20500000	20448570	7971	3204	200.75	36.25	0.6941	0.2894	0.1563	4.486824075628822	7.229271983488772e-6	0.1563	0.0026261720724635174	TRUE	TRUE	0.06828047388405145	20340at8782	ribonuclease inhibitor	1	40878at8782,21218at8782,7400at8782,33131at8782,8012at8782,23361at8782,14160at8782,20340at8782,50519at8782,23991at8782,13821at8782	11
4	46900001	47000000	46951064	6815	2744	177	34	0.6777	0.2879	0.1559	4.472997781921326	7.713057784686228e-6	0.1559	0.002698141880605979	TRUE	TRUE	0.07284983077636142			0		0
2	38500001	38600000	38550685	6654	3935	29.5	158.5	-0.6862	-0.1487	-0.102	-4.441505085986674	8.933183514470144e-6	0.102	0.003013354224791804	TRUE	TRUE	0.08437391829417051			0	54414at8782,47045at8782,33252at8782	3
2	39200001	39300000	39257679	4874	2766	22.75	110.25	-0.6579	-0.1399	-0.0968	-4.261763267789227	2.0282023341477995e-5	0.0968	0.006605645188284816	TRUE	TRUE	0.19156371046025966			0	54414at8782,47045at8782,33252at8782,13172at8782	4
4	70900001	71000000	70949174	5599	1870	171.125	22.125	0.771	0.2648	0.149	4.234494215467021	2.2906668091460247e-5	0.149	0.007211782670794734	TRUE	TRUE	0.21635348012384203			0	22254at8782,27298at8782,49986at8782,7330at8782,18091at8782,3637at8782,20007at8782,8950at8782,15892at8782,53446at8782,6274at8782,34472at8782,3590at8782,11357at8782,4954at8782,19814at8782	16
2	39500001	39600000	39536474	3848	2021	7.5	71	-0.8089	-0.1399	-0.0956	-4.22028438666674	2.4399432342114835e-5	0.0956	0.007433956079718537	TRUE	TRUE	0.23045263847127462	13172at8782	Protein kinase domain	1	13172at8782,17301at8782	2
11	11400001	11500000	11453184	7466	2767	232.375	52.125	0.6336	0.2443	0.1479	4.196471907771408	2.711050709303109e-5	0.1479	0.007772500060344106	TRUE	TRUE	0.25605873949367863	11136at8782,33297at8782,50835at8782	sodium/hydrogen exchanger 2-like,Protein of unknown function DUF4569,SH3 domain-binding glutamic acid-rich-like protein	3	9942at8782,6396at8782,35479at8782,36307at8782,11924at8782,42331at8782,1971at8782,45037at8782,11136at8782,33297at8782,50835at8782,25068at8782,24201at8782,40746at8782,31573at8782,33915at8782,31102at8782,29358at8782,4673at8782,42479at8782,4927at8782,52478at8782,28881at8782	23
2	38600001	38700000	38646657	5917	3309	22.875	120.375	-0.6806	-0.1364	-0.0949	-4.196088372678622	2.7156432185426738e-5	0.0949	0.007772500060344106	TRUE	TRUE	0.25649250199135554			0	54414at8782,47045at8782,33252at8782	3
4	47100001	47200000	47148821	6456	2508	139.875	23.625	0.711	0.277	0.1465	4.148079879795172	3.35275424878656e-5	0.1465	0.0093137540822909	TRUE	TRUE	0.3166676387978906			0		0
2	38400001	38500000	38454403	5636	3110	21.125	115.375	-0.6905	-0.137	-0.0933	-4.140783197848638	3.461219876177424e-5	0.0933	0.009340349065855933	TRUE	TRUE	0.3269122173049577			0	49433at8782,54414at8782,47045at8782,33252at8782	4
13	100001	200000	152287	6456	2167	166.75	16	0.8249	0.2471	0.1461	4.134253586087676	3.561101029503355e-5	0.1461	0.009342944228794219	TRUE	TRUE	0.3363459922365919	14154at8782,5747at8782	Transcriptional repressor CTCF,Alanine--tRNA ligase, cytoplasmic	2	14154at8782,5747at8782,22491at8782,48791at8782,3359at8782,25615at8782,13761at8782,35155at8782,47933at8782,22157at8782,27553at8782	11
14	13200001	13300000	13252986	6863	2483	165.5	40.25	0.6087	0.2582	0.1456	4.116970718953306	3.838848228965297e-5	0.1456	0.009799438249345196	TRUE	TRUE	0.3625792152257723			0	7335at8782,3463at8782,26858at8782,24042at8782,2568at8782,3824at8782,36591at8782,23837at8782,51197at8782,7526at8782,49790at8782,35950at8782,22769at8782,17317at8782,23784at8782,23589at8782	16
2	19000001	19100000	19051553	6664	2619	152.75	36.25	0.6164	0.2619	0.1447	4.08586155811144	4.391355812072284e-5	0.1447	0.010914830432900716	TRUE	FALSE	0.4147635564502272	38399at8782	ras suppressor protein 1	1	18577at8782,43040at8782,26277at8782,25892at8782,38399at8782,27931at8782,20934at8782,5535at8782,7824at8782	9
7	31700001	31800000	31746207	5221	2264	164.875	35.625	0.6446	0.2375	0.1438	4.054752397269574	5.0187434769144446e-5	0.1438	0.012154367215245366	TRUE	FALSE	0.4740203213945693	35387at8782,25302at8782	renalase,Partial AB-hydrolase lipase domain	2	18550at8782,11070at8782,21874at8782,26891at8782,25236at8782,35387at8782,25302at8782,24974at8782,39274at8782,7989at8782,11393at8782,31310at8782,25506at8782	13
3	74000001	74100000	74055472	6373	3663	22	126.25	-0.7032	-0.1268	-0.0896	-4.0128899810543	5.997987271388894e-5	0.0896	0.014162747444567025	TRUE	FALSE	0.566509897782681	17503at8782	Zinc finger, C3HC4 RING-type	1	33342at8782,5936at8782,14168at8782,17503at8782,27026at8782	5
3	73600001	73700000	73643835	4253	2362	28.5	102	-0.5632	-0.133	-0.089	-3.9921505404930566	6.54767826504532e-5	0.089	0.015083614930086111	TRUE	FALSE	0.6184282121335305	5936at8782	importin-11	1	33342at8782,5936at8782,14168at8782,17503at8782,27026at8782	5
40	66600001	66700000	66656763	6836	2839	253.875	56.375	0.6366	0.3281	0.1417	3.9821643553052204	6.82905273401424e-5	0.1417	0.01535723882684869	TRUE	FALSE	0.645004030727645			0	28268at8782,33311at8782,2214at8782,29317at8782,3570at8782,15345at8782,1878at8782,4059at8782,49814at8782,23708at8782	10
2	7900001	8000000	7946215	5916	2276	128	24	0.6842	0.2373	0.141	3.9579683413171023	7.558997350654018e-5	0.141	0.01622607499475618	TRUE	FALSE	0.713947299769272			0	7937at8782,18886at8782,4709at8782	3
40	66400001	66500000	66448960	9505	3544	335.5	75	0.6346	0.2447	0.141	3.9579683413171023	7.558997350654018e-5	0.141	0.01622607499475618	TRUE	FALSE	0.713947299769272			0	52123at8782,19354at8782,26215at8782,28268at8782,33311at8782,2214at8782,29317at8782,3570at8782,15345at8782,1878at8782	10
12	400001	500000	450961	6493	2613	132.5	27.75	0.6537	0.2527	0.1397	3.913032886767741	9.11441161635107e-5	0.1397	0.019130137270319078	TRUE	FALSE	0.8608561771643586			0	12336at8782,18807at8782,15714at8782,18229at8782,34616at8782	5
1	1	100000	53699	5749	2169	25.875	14.375	0.2857	0.0177	0.012	-0.5010113793503345	0.6163631144018031	0.012	0.9975364377295958	FALSE	FALSE	1	624at8782	LOW QUALITY PROTEIN: golgin subfamily B member 1-like	1	624at8782,43344at8782	2
1	100001	200000	152065	6926	2639	97.375	71.375	0.1541	0.0324	0.0202	-0.21757235834666797	0.8277623233898868	0.0202	0.9975364377295958	FALSE	FALSE	1	43344at8782	Small GTPase	1	624at8782,43344at8782,16453at8782	3
1	200001	300000	251080	8559	3042	128.5	70.75	0.2898	0.0772	0.0491	0.7813773620199129	0.4345805816314212	0.0491	0.9975364377295958	FALSE	FALSE	1			0	624at8782,43344at8782,16453at8782	3
1	300001	400000	347295	8763	3114	125.125	86.125	0.1846	0.0529	0.0304	0.1349981311944783	0.8926133518966493	0.0304	0.9975364377295958	FALSE	FALSE	1			0	624at8782,43344at8782,16453at8782	3
1	400001	500000	442260	7454	2678	110.25	79.75	0.1605	0.052	0.028	0.05204036894950273	0.9584965272058381	0.028	0.9975364377295958	FALSE	FALSE	1			0	624at8782,43344at8782,16453at8782	3
1	500001	600000	556822	6097	2045	92.125	57.125	0.2345	0.0771	0.0414	0.5152212081506163	0.6063984505875144	0.0414	0.9975364377295958	FALSE	FALSE	1			0	624at8782,43344at8782,16453at8782	3
1	600001	700000	649215	9313	3270	187.75	89	0.3568	0.1235	0.0678	1.4277565928453475	0.15336193071222115	0.0678	0.9975364377295958	FALSE	FALSE	1	16453at8782	protein DENND6B	1	43344at8782,16453at8782	2
1	700001	800000	748208	7762	2739	138.75	73.25	0.309	0.1102	0.0594	1.1374044249879334	0.25536925832078117	0.0594	0.9975364377295958	FALSE	FALSE	1	16453at8782	protein DENND6B	1	16453at8782,27143at8782,49034at8782	3
1	800001	900000	845417	4482	1504	60.625	44.125	0.1575	0.0604	0.0324	0.20412959973195788	0.8382522240568531	0.0324	0.9975364377295958	FALSE	FALSE	1			0	16453at8782,27143at8782,49034at8782,22103at8782,25826at8782,18297at8782,24991at8782,32886at8782	8
1	900001	1000000	953379	2863	982	47	25.5	0.2966	0.1172	0.0673	1.4104737257109776	0.1583998493077592	0.0673	0.9975364377295958	FALSE	FALSE	1			0	16453at8782,27143at8782,49034at8782,22103at8782,25826at8782,18297at8782,24991at8782,32886at8782,5995at8782,30421at8782,23603at8782	11
1	1000001	1100000	1057600	5131	1841	99	55.25	0.2836	0.1204	0.066	1.365538271161616	0.1720839329483852	0.066	0.9975364377295958	FALSE	FALSE	1			0	16453at8782,27143at8782,49034at8782,22103at8782,25826at8782,18297at8782,24991at8782,32886at8782,5995at8782,30421at8782,23603at8782,19271at8782	12
1	1100001	1200000	1151717	7925	2928	154.375	97.875	0.224	0.0807	0.0472	0.7157024669093073	0.4741750872392714	0.0472	0.9975364377295958	FALSE	FALSE	1			0	16453at8782,27143at8782,49034at8782,22103at8782,25826at8782,18297at8782,24991at8782,32886at8782,5995at8782,30421at8782,23603at8782,19271at8782	12
1	1200001	1300000	1248502	8178	3074	179.75	79.25	0.388	0.1434	0.0817	1.908220299180831	0.05636274906357697	0.0817	0.9975364377295958	FALSE	FALSE	1	27143at8782,49034at8782	nuclear respiratory factor 1,ubiquitin-conjugating enzyme E2 H	2	16453at8782,27143at8782,49034at8782,22103at8782,25826at8782,18297at8782,24991at8782,32886at8782,5995at8782,30421at8782,23603at8782,19271at8782,35005at8782,12230at8782,6024at8782	15
1	1300001	1400000	1353384	8066	3043	171	111	0.2128	0.0949	0.0488	0.7710076417392911	0.44070240209856393	0.0488	0.9975364377295958	FALSE	FALSE	1	49034at8782,22103at8782,25826at8782,18297at8782,24991at8782,32886at8782	ubiquitin-conjugating enzyme E2 H,Zinc finger, C3HC-like,Kelch repeat type 1,Cytochrome B561-related,carboxypeptidase A2,Rhodanese-like domain	6	27143at8782,49034at8782,22103at8782,25826at8782,18297at8782,24991at8782,32886at8782,5995at8782,30421at8782,23603at8782,19271at8782,35005at8782,12230at8782,6024at8782	14
1	1400001	1500000	1450659	8557	3271	188.375	110.875	0.259	0.1049	0.0594	1.1374044249879334	0.25536925832078117	0.0594	0.9975364377295958	FALSE	FALSE	1	5995at8782,30421at8782,23603at8782	UvrD-like DNA helicase, C-terminal,Ankyrin repeat,GDP dissociation inhibitor	3	27143at8782,49034at8782,22103at8782,25826at8782,18297at8782,24991at8782,32886at8782,5995at8782,30421at8782,23603at8782,19271at8782,35005at8782,12230at8782,6024at8782	14
1	1500001	1600000	1550506	7360	2734	168.25	86.5	0.3209	0.1303	0.0723	1.583302397054677	0.1133525568430982	0.0723	0.9975364377295958	FALSE	FALSE	1	19271at8782	Pleckstrin homology domain	1	27143at8782,49034at8782,22103at8782,25826at8782,18297at8782,24991at8782,32886at8782,5995at8782,30421at8782,23603at8782,19271at8782,35005at8782,12230at8782,6024at8782	14
1	1600001	1700000	1650147	7222	2808	155.75	100.25	0.2168	0.0896	0.0474	0.7226156137630553	0.4699160728770335	0.0474	0.9975364377295958	FALSE	FALSE	1			0	27143at8782,49034at8782,22103at8782,25826at8782,18297at8782,24991at8782,32886at8782,5995at8782,30421at8782,23603at8782,19271at8782,35005at8782,12230at8782,6024at8782	14
1	1700001	1800000	1751200	7725	2824	156.5	77.5	0.3376	0.1219	0.0693	1.4796051942484574	0.13897863950302103	0.0693	0.9975364377295958	FALSE	FALSE	1	35005at8782,12230at8782,6024at8782	UAA transporter,Leucine rich repeat 4,exocyst complex component 4	3	27143at8782,49034at8782,22103at8782,25826at8782,18297at8782,24991at8782,32886at8782,5995at8782,30421at8782,23603at8782,19271at8782,35005at8782,12230at8782,6024at8782	14
1	1800001	1900000	1851199	10314	3968	253.625	126.875	0.3331	0.1413	0.0773	1.7561310683983757	0.07906603131030043	0.0773	0.9975364377295958	FALSE	FALSE	1	6024at8782	exocyst complex component 4	1	49034at8782,22103at8782,25826at8782,18297at8782,24991at8782,32886at8782,5995at8782,30421at8782,23603at8782,19271at8782,35005at8782,12230at8782,6024at8782	13
1	1900001	2000000	1949050	10473	4000	223.625	117.625	0.3106	0.1176	0.0664	1.379364564869112	0.16778237892347492	0.0664	0.9975364377295958	FALSE	FALSE	1	6024at8782	exocyst complex component 4	1	5995at8782,30421at8782,23603at8782,19271at8782,35005at8782,12230at8782,6024at8782	7
1	2000001	2100000	2047360	8919	3416	192.875	115.875	0.2494	0.0906	0.0526	0.9023574319605024	0.36686702605670973	0.0526	0.9975364377295958	FALSE	FALSE	1	6024at8782	exocyst complex component 4	1	19271at8782,35005at8782,12230at8782,6024at8782	4
1	2100001	2200000	2150058	8382	3323	144.375	88.375	0.2406	0.0701	0.0407	0.4910251941624985	0.6234086283914277	0.0407	0.9975364377295958	FALSE	FALSE	1			0	35005at8782,12230at8782,6024at8782	3
1	2200001	2300000	2250814	7812	3101	164.25	100.5	0.2408	0.0874	0.05	0.8124865228617789	0.4165125167456585	0.05	0.9975364377295958	FALSE	FALSE	1			0	35005at8782,12230at8782,6024at8782	3
1	2300001	2400000	2349397	7728	3203	143.375	111.875	0.1234	0.0433	0.0247	-0.06202655413733872	0.9505416855667461	0.0247	0.9975364377295958	FALSE	FALSE	1			0	6024at8782	1
1	2400001	2500000	2450061	7725	3014	92.125	85.625	0.0366	0.0087	0.0053	-0.7326017989508914	0.46380133358618325	0.0053	0.9975364377295958	FALSE	FALSE	1			0	6024at8782	1
1	2500001	2600000	2550709	7885	3176	92.375	111.125	-0.0921	-0.0232	-0.0143	-1.4100901906181917	0.1585130533841781	0.0143	0.9975364377295958	FALSE	FALSE	1			0	6024at8782,34154at8782,8995at8782	3
1	2600001	2700000	2650394	8257	3299	136.875	130.375	0.0243	0.0074	0.0044	-0.7637109597927572	0.445039508092246	0.0044	0.9975364377295958	FALSE	FALSE	1			0	34154at8782,8995at8782	2
1	2700001	2800000	2752418	7298	2772	95.25	59	0.235	0.0517	0.0329	0.22141246686632782	0.8247712861522822	0.0329	0.9975364377295958	FALSE	FALSE	1			0	34154at8782,8995at8782	2
1	2800001	2900000	2849161	7797	2943	121.625	100.125	0.097	0.0278	0.0178	-0.3005301205916435	0.7637728247247508	0.0178	0.9975364377295958	FALSE	FALSE	1			0	34154at8782,8995at8782,42198at8782,29806at8782	4
1	2900001	3000000	2949385	7499	3112	151	122.5	0.1042	0.0369	0.0218	-0.1622671835166842	0.8710954559183359	0.0218	0.9975364377295958	FALSE	FALSE	1			0	34154at8782,8995at8782,42198at8782,29806at8782,19170at8782	5
1	3000001	3100000	3048960	7398	3135	164.125	101.875	0.234	0.0828	0.0495	0.795203655727409	0.4264950456111687	0.0495	0.9975364377295958	FALSE	FALSE	1	34154at8782,8995at8782	podocalyxin,muskelin	2	34154at8782,8995at8782,42198at8782,29806at8782,19170at8782	5
1	3100001	3200000	3149967	6134	2543	101.875	82.125	0.1073	0.035	0.0199	-0.22794207862728985	0.8196912696557173	0.0199	0.9975364377295958	FALSE	FALSE	1	8995at8782	muskelin	1	34154at8782,8995at8782,42198at8782,29806at8782,19170at8782	5
1	3200001	3300000	3249404	7455	3118	142.625	65.125	0.373	0.0959	0.0599	1.1546872921223033	0.24821850532869139	0.0599	0.9975364377295958	FALSE	FALSE	1			0	34154at8782,8995at8782,42198at8782,29806at8782,19170at8782	5
1	3300001	3400000	3348363	8245	3482	180.25	107.5	0.2528	0.0944	0.0523	0.8919877116798804	0.37239951895581114	0.0523	0.9975364377295958	FALSE	FALSE	1	42198at8782,29806at8782	Sushi/SCR/CCP domain,Splicing factor 45	2	34154at8782,8995at8782,42198at8782,29806at8782,19170at8782	5
1	3400001	3500000	3451864	6789	2843	151.125	84.125	0.2848	0.1052	0.0605	1.1754267326835468	0.23982403362234428	0.0605	0.9975364377295958	FALSE	FALSE	1	29806at8782,19170at8782	Splicing factor 45,6-phosphofructo-2-kinase	2	34154at8782,8995at8782,42198at8782,29806at8782,19170at8782,6401at8782,5957at8782,29329at8782	8
1	3500001	3600000	3548942	7022	2877	172.75	79.75	0.3683	0.1244	0.0754	1.69045617328777	0.09094071612755861	0.0754	0.9975364377295958	FALSE	FALSE	1			0	34154at8782,8995at8782,42198at8782,29806at8782,19170at8782,6401at8782,5957at8782,29329at8782,34881at8782,24458at8782	10
1	3600001	3700000	3649494	7440	2986	171.125	97.125	0.2759	0.115	0.0641	1.2998633760510103	0.19364779943729693	0.0641	0.9975364377295958	FALSE	FALSE	1			0	8995at8782,42198at8782,29806at8782,19170at8782,6401at8782,5957at8782,29329at8782,34881at8782,24458at8782	9
1	3700001	3800000	3752866	8402	3578	190.125	119.125	0.2296	0.0899	0.0509	0.8435956837036447	0.3988953770690984	0.0509	0.9975364377295958	FALSE	FALSE	1			0	42198at8782,29806at8782,19170at8782,6401at8782,5957at8782,29329at8782,34881at8782,24458at8782	8
1	3800001	3900000	3846936	7764	3294	161.375	115.375	0.1662	0.0659	0.0366	0.3493056836606652	0.7268598319330215	0.0366	0.9975364377295958	FALSE	FALSE	1			0	42198at8782,29806at8782,19170at8782,6401at8782,5957at8782,29329at8782,34881at8782,24458at8782	8
1	3900001	4000000	3948221	7467	2905	158.5	76.5	0.3489	0.1334	0.0769	1.74230477469088	0.08145512839460722	0.0769	0.9975364377295958	FALSE	FALSE	1	6401at8782,5957at8782,29329at8782	Inter-alpha-trypsin inhibitor heavy chain, C-terminal,Inter-alpha-trypsin inhibitor heavy chain, C-terminal,DNA/RNA-binding protein KIN17	3	29806at8782,19170at8782,6401at8782,5957at8782,29329at8782,34881at8782,24458at8782	7
1	4000001	4100000	4050462	7476	3102	125.375	78.375	0.2307	0.0658	0.0403	0.47719890045500263	0.6332204940241908	0.0403	0.9975364377295958	FALSE	FALSE	1	29329at8782,34881at8782,24458at8782	DNA/RNA-binding protein KIN17,ATP synthase, F1 complex, gamma subunit,transcription initiation factor TFIID subunit 3	3	6401at8782,5957at8782,29329at8782,34881at8782,24458at8782	5
1	4100001	4200000	4147679	6175	2430	86.25	78.25	0.0486	0.0151	0.0088	-0.611621729010302	0.54078805831909	0.0088	0.9975364377295958	FALSE	FALSE	1	24458at8782	transcription initiation factor TFIID subunit 3	1	6401at8782,5957at8782,29329at8782,34881at8782,24458at8782	5
1	4200001	4300000	4251431	6759	2555	80.25	60.75	0.1383	0.0321	0.0199	-0.22794207862728985	0.8196912696557173	0.0199	0.9975364377295958	FALSE	FALSE	1			0	6401at8782,5957at8782,29329at8782,34881at8782,24458at8782	5
1	4300001	4400000	4350030	6744	2495	58.25	57	0.0108	0.0022	0.0014	-0.8674081625989767	0.38571841102171156	0.0014	0.9975364377295958	FALSE	FALSE	1			0	6401at8782,5957at8782,29329at8782,34881at8782,24458at8782	5
