busco.id	Status	scaffold	start	end	mid	Strand	Score	Length	OrthoDB url	Description
19606at8782	Complete	1	6908190	6920141	6914165.5	+	723	374	https://v10-1.orthodb.org/?query=19606at8782	Heat shock protein 70 family
19632at8782	Complete	1	6933816	6941544	6937680	-	919.4	513	https://v10-1.orthodb.org/?query=19632at8782	DNA repair metallo-beta-lactamase
50494at8782	Fragmented	1	6947874	6966676	6957275	+	96.6	49	https://v10-1.orthodb.org/?query=50494at8782	Meiosis-expressed gene 1 protein
10865at8782	Complete	1	6968268	6990948	6979608	-	1134.2	610	https://v10-1.orthodb.org/?query=10865at8782	cyclin-D-binding Myb-like transcription factor 1
5578at8782	Complete	1	7031326	7124689	7078007.5	+	1670.7	829	https://v10-1.orthodb.org/?query=5578at8782	UPF0577 protein KIAA1324-like homolog
193at8782	Complete	1	8779124	9093082	8936103	+	5840.6	3442	https://v10-1.orthodb.org/?query=193at8782	protein piccolo
23469at8782	Complete	1	10175354	10194320	10184837	-	737.7	400	https://v10-1.orthodb.org/?query=23469at8782	CD36 family
51910at8782	Complete	1	11417889	11418290	11418089.5	+	250.6	122	https://v10-1.orthodb.org/?query=51910at8782	Transmembrane protein 60
9944at8782	Complete	1	11486141	11544198	11515169.5	-	942.9	528	https://v10-1.orthodb.org/?query=9944at8782	Tyrosine/serine-protein phosphatase IphP-type
7910at8782	Complete	1	11577005	11616397	11596701	+	1180.2	728	https://v10-1.orthodb.org/?query=7910at8782	gamma-secretase-activating protein
10455at8782	Complete	1	11618052	11651362	11634707	-	1123.2	773	https://v10-1.orthodb.org/?query=10455at8782	coiled-coil domain-containing protein 146
23125at8782	Complete	1	11664089	11668079	11666084	+	829.3	383	https://v10-1.orthodb.org/?query=23125at8782	"Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain"
38351at8782	Complete	1	11685445	11721296	11703370.5	+	387.3	216	https://v10-1.orthodb.org/?query=38351at8782	protein FAM185A
24162at8782	Complete	1	11763548	11769382	11766465	+	821.8	384	https://v10-1.orthodb.org/?query=24162at8782	Leucine-rich repeat-containing protein 17
37558at8782	Complete	1	11800823	11804664	11802743.5	+	327.2	215	https://v10-1.orthodb.org/?query=37558at8782	Armadillo repeat-containing domain
23274at8782	Complete	1	11807044	11815128	11811086	-	727.6	334	https://v10-1.orthodb.org/?query=23274at8782	Metallo-beta-lactamase
19548at8782	Complete	1	11843396	11849226	11846311	+	771.5	391	https://v10-1.orthodb.org/?query=19548at8782	"Peptidase M16, C-terminal"
22493at8782	Complete	1	11849423	11862805	11856114	-	1078.3	544	https://v10-1.orthodb.org/?query=22493at8782	DnaJ domain
25583at8782	Complete	1	11862804	11870243	11866523.5	+	644.9	299	https://v10-1.orthodb.org/?query=25583at8782	"AAA ATPase, AAA+ lid domain"
12547at8782	Complete	1	11875024	11897624	11886324	-	1194.3	638	https://v10-1.orthodb.org/?query=12547at8782	STAS domain
209at8782	Complete	1	11915554	12171756	12043655	-	6492.4	2992	https://v10-1.orthodb.org/?query=209at8782	"EGF-like domain, extracellular"
22525at8782	Complete	1	12196555	12254022	12225288.5	-	721.2	362	https://v10-1.orthodb.org/?query=22525at8782	"Origin recognition complex, subunit 5"
2112at8782	Complete	1	12616820	12658359	12637589.5	+	2880.1	1670	https://v10-1.orthodb.org/?query=2112at8782	SET domain
13305at8782	Complete	1	12811273	12828733	12820003	+	1111.2	559	https://v10-1.orthodb.org/?query=13305at8782	"Pseudouridine synthase, TruD"
10656at8782	Complete	1	12829918	12839311	12834614.5	+	1359.7	676	https://v10-1.orthodb.org/?query=10656at8782	RINT-1/Tip20
17790at8782	Complete	1	12850031	12949588	12899809.5	-	1319.9	662	https://v10-1.orthodb.org/?query=17790at8782	SCA7 domain
9443at8782	Complete	1	12967369	13001423	12984396	+	1243.4	697	https://v10-1.orthodb.org/?query=9443at8782	cadherin-related family member 3
40692at8782	Complete	1	13016012	13020135	13018073.5	-	350.5	199	https://v10-1.orthodb.org/?query=40692at8782	synaptophysin-like protein 1
19957at8782	Complete	1	13050187	13102107	13076147	-	1085.5	463	https://v10-1.orthodb.org/?query=19957at8782	nicotinamide phosphoribosyltransferase
4204at8782	Complete	1	13224932	13247125	13236028.5	+	2017.6	964	https://v10-1.orthodb.org/?query=4204at8782	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"
16756at8782	Complete	1	13358366	13369486	13363926	+	871.1	402	https://v10-1.orthodb.org/?query=16756at8782	High mobility group box domain
9035at8782	Complete	1	13372490	13535956	13454223	-	1311.5	683	https://v10-1.orthodb.org/?query=9035at8782	Conserved oligomeric Golgi complex subunit 5
27170at8782	Complete	1	13507240	13508616	13507928	+	865.5	389	https://v10-1.orthodb.org/?query=27170at8782	"G protein-coupled receptor, rhodopsin-like"
30586at8782	Complete	1	13537021	13544340	13540680.5	+	588.8	271	https://v10-1.orthodb.org/?query=30586at8782	tRNA-dihydrouridine(20a/20b) synthase 
44783at8782	Fragmented	1	13548638	13569111	13558874.5	+	243.1	158	https://v10-1.orthodb.org/?query=44783at8782	Bap31/Bap29 cytoplasmic coiled-coil domain
13418at8782	Complete	1	13575917	13594809	13585363	+	1078.4	557	https://v10-1.orthodb.org/?query=13418at8782	STAS domain
31774at8782	Complete	1	13596985	13604928	13600956.5	+	998.7	463	https://v10-1.orthodb.org/?query=31774at8782	"Hakai, C2H2 zinc finger domain"
11713at8782	Complete	1	13610663	13622017	13616340	-	1106.1	637	https://v10-1.orthodb.org/?query=11713at8782	STAS domain
19258at8782	Fragmented	1	13646557	13657990	13652273.5	+	596.1	286	https://v10-1.orthodb.org/?query=19258at8782	"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain"
27358at8782	Complete	1	13757674	13771438	13764556	+	667.9	311	https://v10-1.orthodb.org/?query=27358at8782	Endoplasmic reticulum-Golgi intermediate compartment protein 2
643at8782	Complete	1	13779049	13835271	13807160	-	4294.5	2155	https://v10-1.orthodb.org/?query=643at8782	Leucine rich repeat 4
14230at8782	Complete	1	14015292	14025894	14020593	-	671.8	466	https://v10-1.orthodb.org/?query=14230at8782	Protein of unknown function DUF4552
11717at8782	Complete	1	14039057	14075478	14057267.5	+	1215.6	569	https://v10-1.orthodb.org/?query=11717at8782	ATP-binding cassette sub-family D member 2
23990at8782	Complete	1	14447304	14451353	14449328.5	-	642.8	358	https://v10-1.orthodb.org/?query=23990at8782	Alpha-2-glucosyltransferase Alg10
45857at8782	Complete	1	14451438	14453144	14452291	+	247.7	135	https://v10-1.orthodb.org/?query=45857at8782	CGI121/TPRKB
20536at8782	Complete	1	14463796	14472614	14468205	+	923.4	606	https://v10-1.orthodb.org/?query=20536at8782	G2 and S phase-expressed protein 1
24138at8782	Complete	1	14474559	14483363	14478961	+	624.3	322	https://v10-1.orthodb.org/?query=24138at8782	mitochondrial tRNA-specific 2-thiouridylase 1
16101at8782	Complete	1	14716724	14764367	14740545.5	+	723.7	372	https://v10-1.orthodb.org/?query=16101at8782	GRAM domain
18249at8782	Complete	1	14877691	14993734	14935712.5	-	865.6	406	https://v10-1.orthodb.org/?query=18249at8782	"Diacylglycerol kinase, catalytic domain"
4256at8782	Complete	1	17617120	17620632	17618876	+	2081.7	975	https://v10-1.orthodb.org/?query=4256at8782	"Zinc finger, BED-type"
20329at8782	Complete	1	17628844	17638913	17633878.5	-	757.5	376	https://v10-1.orthodb.org/?query=20329at8782	Mannosyltransferase
31455at8782	Complete	1	17642537	17655096	17648816.5	+	605.3	284	https://v10-1.orthodb.org/?query=31455at8782	EGF-like calcium-binding domain
18765at8782	Complete	1	18836778	18875635	18856206.5	-	627.9	352	https://v10-1.orthodb.org/?query=18765at8782	"Interleukin-17 receptor C/E, N-terminal"
30477at8782	Complete	1	18902588	18917824	18910206	-	608.5	319	https://v10-1.orthodb.org/?query=30477at8782	Membrane protein MLC1
3855at8782	Complete	1	18921958	18949368	18935663	+	1788.4	1046	https://v10-1.orthodb.org/?query=3855at8782	"DNA2/NAM7 helicase, AAA domain"
13904at8782	Complete	1	18970075	18990729	18980402	+	1203.6	545	https://v10-1.orthodb.org/?query=13904at8782	pannexin-2
30019at8782	Complete	1	19037394	19053090	19045242	+	620.6	298	https://v10-1.orthodb.org/?query=30019at8782	traB domain-containing protein
15009at8782	Complete	1	19063162	19072514	19067838	+	713.2	370	https://v10-1.orthodb.org/?query=15009at8782	Protein adenylyltransferase SelO
663at8782	Complete	1	19081942	19122300	19102121	-	3653.2	1744	https://v10-1.orthodb.org/?query=663at8782	"Gamma tubulin complex component, C-terminal"
32812at8782	Complete	1	19124798	19127931	19126364.5	-	467.3	236	https://v10-1.orthodb.org/?query=32812at8782	Frizzled domain
27150at8782	Complete	1	19145871	19220505	19183188	-	407.8	258	https://v10-1.orthodb.org/?query=27150at8782	Protein kinase domain
14013at8782	Complete	1	19643569	19652749	19648159	+	1121.6	597	https://v10-1.orthodb.org/?query=14013at8782	Zinc finger C2H2-type
9958at8782	Complete	1	20527872	20576072	20551972	+	1335.6	676	https://v10-1.orthodb.org/?query=9958at8782	protection of telomeres protein 1
27476at8782	Complete	1	20612284	20624381	20618332.5	+	580	286	https://v10-1.orthodb.org/?query=27476at8782	prosaposin receptor GPR37
15719at8782	Complete	1	20869825	20874445	20872135	-	1037.1	482	https://v10-1.orthodb.org/?query=15719at8782	Hyaluronidase
20171at8782	Complete	1	20927985	20936443	20932214	-	874.3	394	https://v10-1.orthodb.org/?query=20171at8782	Hyaluronidase
30406at8782	Complete	1	20969531	21011398	20990464.5	+	696.1	398	https://v10-1.orthodb.org/?query=30406at8782	WH2 domain
31130at8782	Complete	1	21033223	21038408	21035815.5	-	650.8	332	https://v10-1.orthodb.org/?query=31130at8782	Tropomodulin
13662at8782	Complete	1	21049770	21054286	21052028	-	517.6	392	https://v10-1.orthodb.org/?query=13662at8782	Ankyrin repeat
50790at8782	Complete	1	21064982	21067934	21066458	+	198.2	102	https://v10-1.orthodb.org/?query=50790at8782	NADH dehydrogenase 
12735at8782	Complete	1	21071878	21094783	21083330.5	+	757.9	422	https://v10-1.orthodb.org/?query=12735at8782	IQ and ubiquitin-like domain-containing protein
23538at8782	Complete	1	21108895	21158652	21133773.5	+	668.6	396	https://v10-1.orthodb.org/?query=23538at8782	"ATPase, V1 complex, subunit S1"
17849at8782	Complete	1	21189598	21219930	21204764	+	955.6	528	https://v10-1.orthodb.org/?query=17849at8782	Solute carrier family 13
5423at8782	Complete	1	21631172	21658660	21644916	+	1669.2	802	https://v10-1.orthodb.org/?query=5423at8782	"Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain"
832at8782	Complete	1	21666644	21797364	21732004	-	3430.9	1960	https://v10-1.orthodb.org/?query=832at8782	Fibronectin type III
30555at8782	Complete	1	22002897	22012350	22007623.5	-	419.4	213	https://v10-1.orthodb.org/?query=30555at8782	Wnt
5418at8782	Complete	1	22029804	22166860	22098332	-	1531.2	836	https://v10-1.orthodb.org/?query=5418at8782	cadherin-like and PC-esterase domain-containing protein 1
36552at8782	Complete	1	22181178	22194257	22187717.5	-	746.5	355	https://v10-1.orthodb.org/?query=36552at8782	inhibitor of growth protein 3
32738at8782	Complete	1	22217811	22262370	22240090.5	+	488.9	228	https://v10-1.orthodb.org/?query=32738at8782	Tetraspanin/Peripherin
51701at8782	Complete	1	23183185	23185924	23184554.5	-	191.4	84	https://v10-1.orthodb.org/?query=51701at8782	"LSM domain, eukaryotic/archaea-type"
2265at8782	Complete	1	23325642	23402106	23363874	+	2525.5	1317	https://v10-1.orthodb.org/?query=2265at8782	Ankyrin repeat
2653at8782	Complete	1	23407892	23484530	23446211	-	2111.1	1212	https://v10-1.orthodb.org/?query=2653at8782	ABC transporter-like
25318at8782	Complete	1	23522068	23551913	23536990.5	+	649	375	https://v10-1.orthodb.org/?query=25318at8782	Ankyrin repeat
2405at8782	Complete	1	23794190	23858809	23826499.5	-	2293.5	1222	https://v10-1.orthodb.org/?query=2405at8782	Hepatocyte growth factor receptor
48764at8782	Complete	1	23953332	23965517	23959424.5	-	184.1	100	https://v10-1.orthodb.org/?query=48764at8782	Caveolin
33044at8782	Complete	1	24131551	24217945	24174748	+	395.7	208	https://v10-1.orthodb.org/?query=33044at8782	"MiT/TFE transcription factors, C-terminal"
5683at8782	Complete	1	24483959	24509765	24496862	+	1696.5	1039	https://v10-1.orthodb.org/?query=5683at8782	Carbohydrate binding module family 25
27977at8782	Complete	1	24800379	24801488	24800933.5	+	882.2	369	https://v10-1.orthodb.org/?query=27977at8782	"G protein-coupled receptor, rhodopsin-like"
33077at8782	Complete	1	24889579	24918848	24904213.5	+	581.7	273	https://v10-1.orthodb.org/?query=33077at8782	probable methyltransferase BTM2 homolog
12101at8782	Complete	1	24926266	24942056	24934161	+	1354.9	650	https://v10-1.orthodb.org/?query=12101at8782	Transmembrane protein 168
52460at8782	Complete	1	25037527	25043143	25040335	-	184	107	https://v10-1.orthodb.org/?query=52460at8782	leucine-rich single-pass membrane protein 1
25718at8782	Complete	1	25047779	25058621	25053200	-	663.8	351	https://v10-1.orthodb.org/?query=25718at8782	interferon-related developmental regulator 1
22693at8782	Complete	1	25094996	25119955	25107475.5	-	688.5	348	https://v10-1.orthodb.org/?query=22693at8782	"Zinc finger, double-stranded RNA binding"
11367at8782	Complete	1	25535345	25537468	25536406.5	-	1280.9	620	https://v10-1.orthodb.org/?query=11367at8782	Leucine-rich repeat neuronal protein 3
42193at8782	Complete	1	26464732	26466502	26465617	-	403.3	193	https://v10-1.orthodb.org/?query=42193at8782	DnaJ subfamily B member 9
28323at8782	Complete	1	26472951	26475740	26474345.5	+	440.6	298	https://v10-1.orthodb.org/?query=28323at8782	THAP domain-containing protein 5
28186at8782	Complete	1	26519660	26521889	26520774.5	-	635.2	298	https://v10-1.orthodb.org/?query=28186at8782	\N
11111at8782	Complete	1	26534456	26565725	26550090.5	+	1293.5	706	https://v10-1.orthodb.org/?query=11111at8782	calcium-independent phospholipase A2-gamma
4548at8782	Complete	1	26902482	26968596	26935539	+	1129	526	https://v10-1.orthodb.org/?query=4548at8782	Immunoglobulin
7215at8782	Complete	1	27157120	27258342	27207731	+	1313	637	https://v10-1.orthodb.org/?query=7215at8782	PDZ domain
24935at8782	Complete	1	27424096	27439615	27431855.5	-	562.2	288	https://v10-1.orthodb.org/?query=24935at8782	glucoside xylosyltransferase 1
45210at8782	Complete	1	27519763	27525671	27522717	-	301.8	135	https://v10-1.orthodb.org/?query=45210at8782	"Zinc finger, CCHC-type"
32691at8782	Complete	1	27534375	27592848	27563611.5	+	601.2	314	https://v10-1.orthodb.org/?query=32691at8782	periphilin-1
9338at8782	Complete	1	27598280	27606188	27602234	-	1606.5	733	https://v10-1.orthodb.org/?query=9338at8782	Prickle-like 1
14955at8782	Complete	1	28025795	28036417	28031106	-	687.2	347	https://v10-1.orthodb.org/?query=14955at8782	pseudouridylate synthase 7 homolog-like protein
22439at8782	Complete	1	28037202	28046849	28042025.5	+	742	378	https://v10-1.orthodb.org/?query=22439at8782	interleukin-1 receptor-associated kinase 4
19583at8782	Complete	1	28084098	28277085	28180591.5	+	792.2	424	https://v10-1.orthodb.org/?query=19583at8782	TMEM117 protein
6846at8782	Complete	1	28580589	28622018	28601303.5	+	1600.3	761	https://v10-1.orthodb.org/?query=6846at8782	Anoctamin
1648at8782	Complete	1	28703547	28797470	28750508.5	+	3208.7	1573	https://v10-1.orthodb.org/?query=1648at8782	ARID DNA-binding domain
6656at8782	Complete	1	28808249	28836107	28822178	-	1835.2	1275	https://v10-1.orthodb.org/?query=6656at8782	"Zinc finger, RING-type"
22295at8782	Complete	1	28880655	28906056	28893355.5	-	797.8	407	https://v10-1.orthodb.org/?query=22295at8782	Sodium-coupled neutral amino acid transporter 1
24523at8782	Complete	1	28936912	28948728	28942820	-	721.9	401	https://v10-1.orthodb.org/?query=24523at8782	"Amino acid transporter, transmembrane domain"
22590at8782	Complete	1	29054703	29072566	29063634.5	-	870.6	503	https://v10-1.orthodb.org/?query=22590at8782	Sodium-coupled neutral amino acid transporter 4
18175at8782	Complete	1	29211859	29213421	29212640	-	968.1	463	https://v10-1.orthodb.org/?query=18175at8782	Leucine-rich repeat
14385at8782	Complete	1	29396416	29413018	29404717	-	1065	579	https://v10-1.orthodb.org/?query=14385at8782	RNA polymerase II-associated protein 3
42188at8782	Complete	1	29413901	29421379	29417640	+	308.1	156	https://v10-1.orthodb.org/?query=42188at8782	"Peptidase M76, ATP23"
5204at8782	Complete	1	29690751	29723157	29706954	-	1624.1	842	https://v10-1.orthodb.org/?query=5204at8782	Immunoglobulin
23471at8782	Complete	1	30023167	30052818	30037992.5	+	840.4	403	https://v10-1.orthodb.org/?query=23471at8782	Major facilitator superfamily
5885at8782	Complete	1	30835787	30878544	30857165.5	+	1727.8	816	https://v10-1.orthodb.org/?query=5885at8782	ubiquitin carboxyl-terminal hydrolase 15
1924at8782	Complete	1	30891876	30955318	30923597	+	3223.3	1514	https://v10-1.orthodb.org/?query=1924at8782	"Mon2, C-terminal"
24979at8782	Complete	1	31280683	31286645	31283664	+	609.2	307	https://v10-1.orthodb.org/?query=24979at8782	transmembrane protein 5
27619at8782	Complete	1	31476943	31482881	31479912	-	850.1	359	https://v10-1.orthodb.org/?query=27619at8782	KICSTOR complex protein C12orf66-like
45748at8782	Fragmented	1	31487579	31489234	31488406.5	-	150.5	72	https://v10-1.orthodb.org/?query=45748at8782	Ribosomal protein 50S-L18Ae/60S-L20/60S-L18A
5868at8782	Complete	1	31496604	31515070	31505837	+	1945.2	882	https://v10-1.orthodb.org/?query=5868at8782	Exportin-1/Importin-beta-like
9102at8782	Complete	1	31536400	31583469	31559934.5	-	1355.1	715	https://v10-1.orthodb.org/?query=9102at8782	Leucine rich repeat 4
43561at8782	Complete	1	31699634	31715221	31707427.5	+	243.3	186	https://v10-1.orthodb.org/?query=43561at8782	Tetraspanin
5879at8782	Complete	1	32321264	32524658	32422961	-	1445.7	676	https://v10-1.orthodb.org/?query=5879at8782	ERAP1-like C-terminal domain
11739at8782	Complete	1	32647132	32685483	32666307.5	-	1093.6	534	https://v10-1.orthodb.org/?query=11739at8782	Rab-GTPase-TBC domain
41938at8782	Complete	1	32685956	32695142	32690549	-	276.1	124	https://v10-1.orthodb.org/?query=41938at8782	Small GTPase
34142at8782	Complete	1	32717830	32727145	32722487.5	-	590.1	291	https://v10-1.orthodb.org/?query=34142at8782	"Protein of unknown function DUF92, TMEM19"
2013at8782	Complete	1	32746036	32780773	32763404.5	+	2974.4	1603	https://v10-1.orthodb.org/?query=2013at8782	zinc finger C3H1 domain-containing protein
32732at8782	Complete	1	32821525	32895593	32858559	+	436.1	200	https://v10-1.orthodb.org/?query=32732at8782	SARAH domain
17510at8782	Complete	1	32908942	32922717	32915829.5	-	877.7	423	https://v10-1.orthodb.org/?query=17510at8782	N-acetylglucosamine-6-sulfatase
10767at8782	Complete	1	32924064	32970379	32947221.5	+	979	473	https://v10-1.orthodb.org/?query=10767at8782	TBC1 domain family member 30
29020at8782	Complete	1	33011265	33052362	33031813.5	-	327.4	213	https://v10-1.orthodb.org/?query=29020at8782	wnt inhibitory factor 1
11244at8782	Complete	1	33072035	33112904	33092469.5	+	1268	619	https://v10-1.orthodb.org/?query=11244at8782	"Man1/Src1, C-terminal"
53435at8782	Complete	1	33500711	33501955	33501333	-	134.6	79	https://v10-1.orthodb.org/?query=53435at8782	protein LLP homolog
45478at8782	Complete	1	33503522	33507950	33505736	-	279.2	178	https://v10-1.orthodb.org/?query=45478at8782	Bax inhibitor 1-related
7014at8782	Complete	1	33549741	33560881	33555311	+	1338.9	791	https://v10-1.orthodb.org/?query=7014at8782	UvrD-like helicase C-terminal domain
16640at8782	Complete	1	34019873	34021450	34020661.5	+	1038.5	457	https://v10-1.orthodb.org/?query=16640at8782	dual specificity tyrosine-phosphorylation-regulated kinase 2
48823at8782	Complete	1	34170393	34174559	34172476	-	244	151	https://v10-1.orthodb.org/?query=48823at8782	Interferon gamma
45577at8782	Complete	1	34217378	34219432	34218405	-	277	170	https://v10-1.orthodb.org/?query=45577at8782	Interleukin-22
13938at8782	Complete	1	34229496	34252019	34240757.5	-	803.4	568	https://v10-1.orthodb.org/?query=13938at8782	Nuclear protein MDM1
32572at8782	Complete	1	34347373	34381600	34364486.5	+	401.4	238	https://v10-1.orthodb.org/?query=32572at8782	solute carrier family 35 member E3
6339at8782	Complete	1	34354227	34377172	34365699.5	+	1517.8	740	https://v10-1.orthodb.org/?query=6339at8782	nuclear pore complex protein Nup107
28249at8782	Complete	1	34397701	34409256	34403478.5	+	716	405	https://v10-1.orthodb.org/?query=28249at8782	"Zinc finger, RanBP2-type"
21160at8782	Complete	1	34415001	34439769	34427385	-	732.2	355	https://v10-1.orthodb.org/?query=21160at8782	"Peptidase M14, carboxypeptidase A"
35314at8782	Complete	1	34482584	34491461	34487022.5	+	799.8	439	https://v10-1.orthodb.org/?query=35314at8782	RNA recognition motif domain
42940at8782	Complete	1	34525865	34530741	34528303	+	218.6	122	https://v10-1.orthodb.org/?query=42940at8782	YEATS
20332at8782	Complete	1	34576812	34584652	34580732	+	921	434	https://v10-1.orthodb.org/?query=20332at8782	Fibroblast growth factor receptor substrate 2
20486at8782	Complete	1	34588683	34604102	34596392.5	+	1003	460	https://v10-1.orthodb.org/?query=20486at8782	Chaperonin Cpn60/TCP-1 family
38251at8782	Complete	1	34607969	34608802	34608385.5	-	479.9	241	https://v10-1.orthodb.org/?query=38251at8782	leucine-rich repeat-containing protein 10
24348at8782	Complete	1	34609144	34620795	34614969.5	+	722.2	351	https://v10-1.orthodb.org/?query=24348at8782	"Xylanase inhibitor, N-terminal"
13811at8782	Complete	1	34626423	34641726	34634074.5	-	1032.6	545	https://v10-1.orthodb.org/?query=13811at8782	Bestrophin/UPF0187
19230at8782	Complete	1	34689329	34721404	34705366.5	+	1236.3	679	https://v10-1.orthodb.org/?query=19230at8782	Myelin gene regulatory factor C-terminal domain 1
18041at8782	Complete	1	34858221	34893612	34875916.5	+	1175.5	501	https://v10-1.orthodb.org/?query=18041at8782	"NOT2/NOT3/NOT5, C-terminal"
