scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
1,12100001,12200000,12150863,6729,2728,62.375,74.875,-0.0911,-0.0217,-0.0126
1,12200001,12300000,12250743,6341,2795,84.5,70.5,0.0903,0.0209,0.0119
1,12300001,12400000,12350979,6281,2533,57.375,75.875,-0.1388,-0.0304,-0.0194
1,12400001,12500000,12449431,6817,2737,67.375,60.875,0.0507,0.0113,0.0067
1,12500001,12600000,12545807,5831,2332,48.125,44.875,0.0349,0.0066,0.0039
1,12600001,12700000,12651183,5902,2411,31.25,12.75,0.4205,0.0319,0.0211
1,12700001,12800000,12747068,5574,2388,34.75,19.25,0.287,0.0301,0.0198
1,12800001,12900000,12848342,6220,2741,70,75.75,-0.0395,-0.009,-0.0054
1,12900001,13000000,12948324,5877,2530,58.25,23.25,0.4294,0.0622,0.0381
1,13000001,13100000,13050747,5996,2557,49.375,73.625,-0.1972,-0.0389,-0.0235
1,13100001,13200000,13149029,5758,2407,61.125,28.375,0.3659,0.0622,0.0387
1,13200001,13300000,13250310,5714,2439,51.875,45.625,0.0641,0.0116,0.007
1,13300001,13400000,13350334,6322,2737,100.375,35.625,0.4761,0.109,0.0686
1,13400001,13500000,13451016,6313,2590,42.875,40.875,0.0239,0.0034,0.0021
1,13500001,13600000,13550154,5876,2401,69.75,41.5,0.2539,0.0526,0.0313
1,13600001,13700000,13651624,6381,2803,63.5,60.5,0.0242,0.0047,0.0029
1,13700001,13800000,13748704,6671,2840,35.5,48,-0.1497,-0.0197,-0.0136
1,13800001,13900000,13850361,6307,2894,84.125,19.125,0.6295,0.1109,0.0668
1,13900001,14000000,13951746,6163,2661,23.375,21.625,0.0389,0.0033,0.0019
1,14000001,14100000,14049281,5566,2330,34,34.75,-0.0109,-0.0014,-0.0009
1,14100001,14200000,14150425,5567,2440,63,47.25,0.1429,0.0306,0.0181
1,14200001,14300000,14247980,5010,2188,37.5,33,0.0638,0.0094,0.0058
1,14300001,14400000,14354903,5519,2436,105.25,31.75,0.5365,0.1297,0.0766
1,14400001,14500000,14451698,6245,2630,58.625,54.125,0.0399,0.0079,0.0048
1,14500001,14600000,14551304,6572,2874,35.375,60.125,-0.2592,-0.0414,-0.0255
1,14600001,14700000,14648134,6755,2876,59.5,38.75,0.2112,0.0359,0.022
1,14700001,14800000,14754481,5213,2257,40,28,0.1765,0.0271,0.0165
1,14800001,14900000,14845840,5937,2545,62.875,24.875,0.433,0.0651,0.041
1,14900001,15000000,14949564,5993,2575,27.25,31.25,-0.0684,-0.0081,-0.0049
1,15000001,15100000,15051921,5588,2517,31.25,27.25,0.0684,0.0075,0.0046
1,15100001,15200000,15151008,5885,2488,91.125,20.625,0.6309,0.1281,0.0752
1,15200001,15300000,15250777,5847,2483,30.5,15.25,0.3333,0.0311,0.0187
1,15300001,15400000,15347387,6105,2640,45.25,17,0.4538,0.0484,0.0296
1,15400001,15500000,15449135,5848,2475,29.375,17.625,0.25,0.0234,0.0141
1,15500001,15600000,15552420,5403,2319,23.875,12.875,0.2993,0.0222,0.0137
1,15600001,15700000,15649174,5865,2324,57.375,17.375,0.5351,0.0774,0.0465
1,15700001,15800000,15747752,5533,2175,51,7.5,0.7436,0.096,0.056
1,15800001,15900000,15849445,5329,2253,41.875,9.625,0.6262,0.0604,0.0383
1,15900001,16000000,15949093,5291,2290,40.25,18.5,0.3702,0.0439,0.027
1,16000001,16100000,16051363,5755,2272,33.625,19.625,0.2629,0.0255,0.0154
1,16100001,16200000,16149682,5564,2387,61.75,25.25,0.4195,0.0614,0.0381
1,16200001,16300000,16250833,4907,1892,33,10.25,0.526,0.0498,0.0302
1,16300001,16400000,16351761,4323,1837,29,6,0.6571,0.0508,0.0305
1,16400001,16500000,16451102,4578,1858,44.5,13.75,0.5279,0.0637,0.0383
1,16500001,16600000,16547013,4323,1760,23.375,5.875,0.5983,0.0357,0.0235
1,16600001,16700000,16647975,4571,1933,58.125,13.625,0.6202,0.0954,0.0598
1,16700001,16800000,16754950,4741,2031,60.875,26.125,0.3994,0.0734,0.0437
1,16800001,16900000,16851036,4453,1890,54,12.5,0.6241,0.0874,0.0531
1,16900001,17000000,16947644,4493,1931,64.75,10.5,0.7209,0.1053,0.0638
1,17000001,17100000,17048907,4255,1758,50,11.75,0.6194,0.0887,0.0535
1,17100001,17200000,17150048,4299,1857,38.5,8.5,0.6383,0.0697,0.0426
1,17200001,17300000,17250342,5556,2323,18.875,59.375,-0.5176,-0.0724,-0.0439
1,17300001,17400000,17346671,4945,2064,11.125,58.625,-0.681,-0.0908,-0.056
1,17400001,17500000,17447783,5354,2550,21,38.75,-0.2971,-0.0327,-0.02
1,17500001,17600000,17548324,5332,2230,37.75,12.5,0.5025,0.0513,0.0328
1,17600001,17700000,17651160,4929,2087,28.25,15.5,0.2914,0.0267,0.0164
1,17700001,17800000,17746461,5007,2068,16.25,15.5,0.0236,0.0019,0.0012
1,17800001,17900000,17852093,5580,2365,21.25,18.25,0.0759,0.0061,0.0038
1,17900001,18000000,17950090,5449,2215,24.875,24.875,0,0,0
1,18000001,18100000,18049594,5505,2311,15.75,14.5,0.0413,0.0029,0.0018
1,18100001,18200000,18150664,6237,2579,35.125,20.125,0.2715,0.026,0.0164
1,18200001,18300000,18250848,6025,2366,26.25,23.75,0.05,0.0045,0.0029
1,18300001,18400000,18349886,6275,2632,21.75,23.5,-0.0387,-0.0031,-0.002
1,18400001,18500000,18452642,6241,2695,46.75,25.25,0.2986,0.0358,0.023
1,18500001,18600000,18550780,6037,2489,48.75,27.75,0.2745,0.036,0.0229
1,18600001,18700000,18647977,6153,2536,23.25,26,-0.0558,-0.0059,-0.0034
1,18700001,18800000,18750773,5782,2497,60,41,0.1881,0.0299,0.0191
1,18800001,18900000,18848310,5262,2233,25.75,30.75,-0.0885,-0.0102,-0.0064
1,18900001,19000000,18950307,5677,2520,69.75,17.5,0.5989,0.0933,0.0565
1,19000001,19100000,19048662,6532,2890,36.625,39.625,-0.0393,-0.005,-0.0032
1,19100001,19200000,19151423,5399,2367,62.75,60.75,0.0162,0.0041,0.0024
1,19200001,19300000,19249917,6023,2612,73.75,35.25,0.3532,0.0728,0.0417
1,19300001,19400000,19351542,6639,2865,52.875,56.875,-0.0364,-0.0065,-0.0038
1,19400001,19500000,19448909,5971,2626,58.75,45,0.1325,0.0265,0.0162
1,19500001,19600000,19550578,6094,2601,54.625,51.125,0.0331,0.0069,0.0042
1,19600001,19700000,19648927,5816,2484,33.125,32.875,0.0038,0.0005,0.0003
1,19700001,19800000,19749858,5988,2476,51.125,39.875,0.1236,0.0235,0.0138
1,19800001,19900000,19850709,5732,2480,59.75,23.25,0.4398,0.073,0.043
1,19900001,20000000,19949650,6599,2718,51.25,23.75,0.3667,0.0459,0.0293
1,20000001,20100000,20049151,6021,2575,105.375,34.375,0.5081,0.1348,0.0777
1,20100001,20200000,20148796,6301,2509,51.75,18.5,0.4733,0.0692,0.0404
1,20200001,20300000,20250433,5693,2626,136.5,29.25,0.6471,0.1801,0.1122
1,20300001,20400000,20350406,5409,2249,30.875,28.125,0.0466,0.0056,0.0036
1,20400001,20500000,20450698,6076,2388,33.375,29.625,0.0595,0.007,0.0043
1,20500001,20600000,20551410,6459,2733,39.625,24.125,0.2431,0.0279,0.0189
1,20600001,20700000,20648335,5883,2501,51.25,29.5,0.2693,0.0431,0.0275
1,20700001,20800000,20749220,6138,2531,49.125,25.125,0.3232,0.0528,0.0326
1,20800001,20900000,20850090,6427,2674,57.25,21.75,0.4494,0.0709,0.0453
1,20900001,21000000,20948951,6173,2476,31,34.25,-0.0498,-0.0066,-0.0039
1,21000001,21100000,21054645,5142,1989,49,24,0.3425,0.0599,0.0365
1,21100001,21200000,21150178,5889,2303,44.625,28.625,0.2184,0.029,0.0192
1,21200001,21300000,21251015,5924,2244,51.125,27.875,0.2943,0.0498,0.0304
1,21300001,21400000,21349544,6383,2553,70.75,34.25,0.3476,0.0628,0.0402
1,21400001,21500000,21449515,5970,2487,58.5,51.25,0.0661,0.0133,0.0086
1,21500001,21600000,21550133,5964,2469,57.375,32.375,0.2786,0.0494,0.0305
1,21600001,21700000,21647814,6541,2604,55.25,35,0.2244,0.0357,0.0226
1,21700001,21800000,21749478,6351,2504,56.625,43.375,0.1325,0.0261,0.0157
1,21800001,21900000,21849189,6193,2505,65.5,33.5,0.3232,0.0557,0.0356
1,21900001,22000000,21950483,6097,2630,66.5,49,0.1515,0.0311,0.0196
1,22000001,22100000,22052633,6925,2840,61.5,33.75,0.2913,0.0525,0.0307
1,22100001,22200000,22150646,5569,2310,43.5,38.75,0.0578,0.0084,0.0053
1,22200001,22300000,22251815,5688,2287,58.125,29.125,0.3324,0.0599,0.0373
1,22300001,22400000,22348510,6250,2559,22.125,26.125,-0.0829,-0.0086,-0.0054
1,22400001,22500000,22448635,5925,2522,57.75,19.75,0.4903,0.0723,0.0453
1,22500001,22600000,22550486,5796,2522,75.25,51.25,0.1897,0.0403,0.0243
1,22600001,22700000,22650473,5884,2553,50.375,17.375,0.4871,0.0566,0.0367
1,22700001,22800000,22749018,5356,2397,40.75,19.5,0.3527,0.0425,0.0264
1,22800001,22900000,22850272,5030,2455,43,35.75,0.0921,0.0137,0.0082
1,22900001,23000000,22949969,5387,2443,18.125,21.375,-0.0823,-0.0069,-0.0044
1,23000001,23100000,23050854,5682,2365,52.25,14,0.5774,0.0783,0.0492
1,23100001,23200000,23153271,5181,2182,91.875,20.625,0.6333,0.1437,0.0897
1,23200001,23300000,23249954,5817,2430,52.5,39.5,0.1413,0.0266,0.0158
1,23300001,23400000,23349182,5237,2154,13,26,-0.3333,-0.0288,-0.0175
1,23400001,23500000,23451346,5623,2326,50.5,34.5,0.1882,0.0338,0.0216
1,23500001,23600000,23548797,5296,2246,34.75,34.75,0,0,0
1,23600001,23700000,23647051,5109,2100,25,21.75,0.0695,0.0069,0.0043
1,23700001,23800000,23753733,4998,2153,85.25,18,0.6513,0.1218,0.0755
1,23800001,23900000,23849504,5356,2037,47.875,26.625,0.2852,0.0423,0.0276
1,23900001,24000000,23951268,6382,2651,57.125,45.125,0.1174,0.0224,0.0138
1,24000001,24100000,24052085,5919,2415,74.375,47.625,0.2193,0.0516,0.0302
1,24100001,24200000,24148210,5843,2400,69.875,48.125,0.1843,0.0414,0.0262
1,24200001,24300000,24250515,4921,1959,31.125,21.625,0.1801,0.0247,0.0159
1,24300001,24400000,24348854,5142,2059,47.75,30.25,0.2244,0.0423,0.0256
1,24400001,24500000,24450224,5471,2076,36.375,31.125,0.0778,0.0107,0.007
1,24500001,24600000,24551749,5469,2230,45.375,34.375,0.1379,0.0213,0.0131
1,24600001,24700000,24649481,6301,2654,50.5,33.5,0.2024,0.032,0.02
1,24700001,24800000,24748240,5574,2312,64.625,49.625,0.1313,0.0296,0.0179
1,24800001,24900000,24854240,5368,2124,28.625,23.625,0.0957,0.0127,0.0072
1,24900001,25000000,24950377,6060,2462,37,22.5,0.2437,0.0259,0.0158
1,25000001,25100000,25053592,5430,2323,40,18.5,0.3675,0.0466,0.0297
1,25100001,25200000,25151019,6543,2684,79.875,30.625,0.4457,0.0935,0.0576
1,25200001,25300000,25249501,6958,2897,89.5,29.5,0.5042,0.0973,0.0582
1,25300001,25400000,25348455,5563,2393,83,23.75,0.555,0.1165,0.0697
1,25400001,25500000,25450959,6548,2748,51.5,45.75,0.0591,0.0098,0.0065
1,25500001,25600000,25549428,5617,2282,46.25,37,0.1111,0.0205,0.0124
1,25600001,25700000,25650353,6388,2609,66.625,49.125,0.1512,0.0308,0.0193
1,25700001,25800000,25749665,6523,2895,64.5,39.5,0.2404,0.0435,0.0262
1,25800001,25900000,25851404,6416,2765,47.125,41.625,0.062,0.0101,0.0061
1,25900001,26000000,25949974,6005,2503,45.875,15.375,0.498,0.0641,0.04
1,26000001,26100000,26050454,6082,2363,36.5,14.5,0.4314,0.0429,0.0285
1,26100001,26200000,26152645,6299,2535,49,25.25,0.3199,0.0444,0.0282
1,26200001,26300000,26251541,6607,2842,44.75,34,0.1365,0.0191,0.0116
1,26300001,26400000,26349739,6065,2564,60.75,37.75,0.2335,0.0441,0.0256
1,26400001,26500000,26449647,6036,2460,63.375,47.625,0.1419,0.0303,0.0186
1,26500001,26600000,26552200,6288,2504,41.25,39.5,0.0217,0.0032,0.0021
1,26600001,26700000,26648364,6569,2663,55.75,52.75,0.0276,0.0053,0.0033
1,26700001,26800000,26747759,6504,2699,74.625,53.875,0.1615,0.04,0.0231
1,26800001,26900000,26850953,6683,2901,92.25,57.75,0.23,0.0534,0.0342
1,26900001,27000000,26948998,6364,2627,99.5,71.25,0.1654,0.0461,0.0272
1,27000001,27100000,27051427,6798,2766,67.875,71.125,-0.0234,-0.0054,-0.0034
1,27100001,27200000,27150784,6426,2517,69.25,56.5,0.1014,0.0249,0.0148
1,27200001,27300000,27248506,6668,2628,73.625,40.125,0.2945,0.0601,0.0384
1,27300001,27400000,27350536,6853,2803,81.875,65.875,0.1083,0.027,0.0168
1,27400001,27500000,27448580,5695,2336,74.75,27.25,0.4657,0.0931,0.0578
1,27500001,27600000,27550369,7001,2987,71.125,54.375,0.1335,0.0258,0.0161
1,27600001,27700000,27651499,5731,2212,63.75,33.75,0.3077,0.0577,0.035
1,27700001,27800000,27750184,6670,2596,65,41.25,0.2235,0.0437,0.028
1,27800001,27900000,27850241,7058,2831,92.75,40.5,0.3921,0.0836,0.0522
1,27900001,28000000,27948353,5211,2181,54.75,38.5,0.1743,0.0334,0.0201
1,28000001,28100000,28049250,5830,2454,60.5,62.25,-0.0143,-0.0032,-0.002
1,28100001,28200000,28150461,6049,2580,53.875,60.625,-0.059,-0.0125,-0.0077
1,28200001,28300000,28249588,6265,2635,69.25,48,0.1812,0.0398,0.0247
1,28300001,28400000,28350040,5853,2444,60.5,26.25,0.3948,0.0635,0.0418
1,28400001,28500000,28451597,5798,2408,47.875,38.875,0.1037,0.0189,0.0115
1,28500001,28600000,28549688,5821,2435,61.125,37.125,0.2443,0.0457,0.0277
1,28600001,28700000,28649545,6048,2450,42.625,44.625,-0.0229,-0.0037,-0.0023
1,28700001,28800000,28752024,5609,2368,37.5,34.25,0.0453,0.0056,0.0034
1,28800001,28900000,28849260,6703,2755,36.5,34.5,0.0282,0.0036,0.0023
1,28900001,29000000,28945616,5446,2123,30,20.5,0.1881,0.0227,0.0147
1,29000001,29100000,29052271,4999,2019,38.5,44,-0.0667,-0.0121,-0.0075
1,29100001,29200000,29152550,6386,2505,65.625,43.875,0.1986,0.0349,0.0231
1,29200001,29300000,29250762,6514,2603,44.5,61.5,-0.1604,-0.0305,-0.0192
1,29300001,29400000,29349049,6197,2516,68.75,38.5,0.2821,0.055,0.0321
1,29400001,29500000,29451144,5745,2488,48.875,67.625,-0.1609,-0.0357,-0.0223
1,29500001,29600000,29551218,6558,2650,48.625,42.625,0.0658,0.0111,0.0067
1,29600001,29700000,29652118,7353,2805,51.375,72.375,-0.1697,-0.0337,-0.0213
1,29700001,29800000,29751378,6200,2542,61.875,30.375,0.3415,0.0611,0.0389
1,29800001,29900000,29850531,6802,2793,62.5,62,0.004,0.0008,0.0005
1,29900001,30000000,29948944,6307,2477,28.5,35.75,-0.1128,-0.0147,-0.009
1,30000001,30100000,30050862,5800,2362,37,25.5,0.184,0.0232,0.0148
1,30100001,30200000,30149975,6460,2678,50,17.75,0.476,0.059,0.037
1,30200001,30300000,30250296,6509,2767,35.125,33.125,0.0293,0.0033,0.0021
1,30300001,30400000,30350096,6318,2514,54.5,23.25,0.4019,0.0595,0.0356
1,30400001,30500000,30451096,6289,2570,34.75,16.75,0.3495,0.0369,0.0238
1,30500001,30600000,30548439,6454,2615,49,19.25,0.4359,0.0586,0.0351
1,30600001,30700000,30649361,6231,2610,49.5,54.75,-0.0504,-0.0086,-0.0056
1,30700001,30800000,30747924,5922,2398,43.5,44,-0.0057,-0.001,-0.0006
1,30800001,30900000,30850297,6016,2553,91.625,64.125,0.1766,0.0449,0.0269
1,30900001,31000000,30951234,6960,2902,44.375,51.375,-0.0731,-0.0122,-0.0078
1,31000001,31100000,31050729,7254,3023,43,61,-0.1731,-0.0292,-0.0178
1,31100001,31200000,31149719,7129,2830,66.5,55.5,0.0902,0.0193,0.0118
1,31200001,31300000,31249211,6421,2741,125.625,73.125,0.2642,0.0794,0.0499
1,31300001,31400000,31352629,6072,2646,75.5,62.5,0.0942,0.0213,0.0137
1,31400001,31500000,31452383,6272,2707,51.375,56.125,-0.0442,-0.0084,-0.0052
1,31500001,31600000,31548146,5499,2255,47.75,53.5,-0.0568,-0.012,-0.0075
1,31600001,31700000,31650829,5960,2498,62.75,67,-0.0328,-0.0072,-0.0045
1,31700001,31800000,31748232,6451,2554,59.75,64.75,-0.0402,-0.008,-0.005
1,31800001,31900000,31852713,6376,2604,85.625,33.375,0.4391,0.0873,0.0526
1,31900001,32000000,31948805,6710,2526,162.125,42.125,0.5875,0.2643,0.1386
1,32000001,32100000,32051576,7434,2928,126.625,31.625,0.6003,0.1632,0.0994
1,32100001,32200000,32150068,7248,2886,85,74,0.0692,0.0184,0.0108
1,32200001,32300000,32248180,6280,2403,72.25,56,0.1267,0.0284,0.0177
1,32300001,32400000,32349404,6458,2597,59.75,72.5,-0.0964,-0.0237,-0.0142
1,32400001,32500000,32449886,7007,2900,97.625,48.875,0.3328,0.0723,0.0463
1,32500001,32600000,32550870,6543,2642,79,67,0.0822,0.0224,0.0137
1,32600001,32700000,32650916,6019,2447,60.25,46,0.1341,0.027,0.0164
1,32700001,32800000,32750045,6812,2719,76.625,60.625,0.1166,0.0274,0.0168
